species,season,abundance,longitude,latitude
albacore,apr-jun,0,148.5,-44.5
albacore,apr-jun,0,150.5,-43.5
albacore,apr-jun,0,148.5,-42.5
albacore,apr-jun,0,149.5,-42.5
albacore,apr-jun,0,47.5,-41.5
albacore,apr-jun,0,48.5,-41.5
albacore,apr-jun,0,53.5,-41.5
albacore,apr-jun,0,148.5,-41.5
albacore,apr-jun,0,150.5,-41.5
albacore,apr-jun,0,152.5,-39.5
albacore,apr-jun,0,-178.5,-38.5
albacore,apr-jun,0,149.5,-38.5
albacore,apr-jun,0,150.5,-38.5
albacore,apr-jun,0,-178.5,-37.5
albacore,apr-jun,0,150.5,-37.5
albacore,apr-jun,0,151.5,-37.5
albacore,apr-jun,0,152.5,-37.5
albacore,apr-jun,0,179.5,-37.5
albacore,apr-jun,0,150.5,-36.5
albacore,apr-jun,0,151.5,-36.5
albacore,apr-jun,0,40.5,-35.5
albacore,apr-jun,0,151.5,-35.5
albacore,apr-jun,0,43.5,-34.5
albacore,apr-jun,0,44.5,-34.5
albacore,apr-jun,0,155.5,-34.5
albacore,apr-jun,0,44.5,-33.5
albacore,apr-jun,0,156.5,-33.5
albacore,apr-jun,0,158.5,-33.5
albacore,apr-jun,0,155.5,-32.5
albacore,apr-jun,0,170.5,-32.5
albacore,apr-jun,0,157.5,-31.5
albacore,apr-jun,0,169.5,-31.5
albacore,apr-jun,0,170.5,-31.5
albacore,apr-jun,0,11.5,-30.5
albacore,apr-jun,0,40.5,-30.5
albacore,apr-jun,0,153.5,-30.5
albacore,apr-jun,0,169.5,-30.5
albacore,apr-jun,0,170.5,-30.5
albacore,apr-jun,0,13.5,-29.5
albacore,apr-jun,0,168.5,-29.5
albacore,apr-jun,0,169.5,-29.5
albacore,apr-jun,0,171.5,-29.5
albacore,apr-jun,0,105.5,-28.5
albacore,apr-jun,0,106.5,-28.5
albacore,apr-jun,0,154.5,-28.5
albacore,apr-jun,0,12.5,-27.5
albacore,apr-jun,0,154.5,-27.5
albacore,apr-jun,0,12.5,-26.5
albacore,apr-jun,0,-164.5,-25.5
albacore,apr-jun,0,73.5,-25.5
albacore,apr-jun,0,74.5,-25.5
albacore,apr-jun,3,-164.5,-24.5
albacore,apr-jun,0,-163.5,-24.5
albacore,apr-jun,0,73.5,-24.5
albacore,apr-jun,0,154.5,-23.5
albacore,apr-jun,0,104.5,-19.5
albacore,apr-jun,0,115.5,-19.5
albacore,apr-jun,0,116.5,-19.5
albacore,apr-jun,0,120.5,-19.5
albacore,apr-jun,0,114.5,-18.5
albacore,apr-jun,0,115.5,-18.5
albacore,apr-jun,0,-154.5,-17.5
albacore,apr-jun,0,-152.5,-17.5
albacore,apr-jun,0,117.5,-17.5
albacore,apr-jun,0,118.5,-17.5
albacore,apr-jun,0,-156.5,-16.5
albacore,apr-jun,0,-154.5,-16.5
albacore,apr-jun,0,-152.5,-16.5
albacore,apr-jun,0,104.5,-16.5
albacore,apr-jun,0,115.5,-16.5
albacore,apr-jun,0,116.5,-16.5
albacore,apr-jun,0,117.5,-16.5
albacore,apr-jun,0,118.5,-16.5
albacore,apr-jun,0,-155.5,-15.5
albacore,apr-jun,0,-153.5,-15.5
albacore,apr-jun,0,114.5,-15.5
albacore,apr-jun,0,116.5,-15.5
albacore,apr-jun,0,117.5,-15.5
albacore,apr-jun,0,118.5,-15.5
albacore,apr-jun,0,120.5,-15.5
albacore,apr-jun,0,-178.5,-14.5
