species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
albacore,jul-sept,0,152.5,-39.5,81,5240153
albacore,jul-sept,0,151.5,-38.5,81,5238151
albacore,jul-sept,0,152.5,-38.5,81,5239151
albacore,jul-sept,0,153.5,-38.5,81,5239153
albacore,jul-sept,0,154.5,-38.5,81,5239155
albacore,jul-sept,0,-167.5,-37.5,81,5338168
albacore,jul-sept,0,150.5,-37.5,57,5238150
albacore,jul-sept,0,151.5,-37.5,81,5238150
albacore,jul-sept,0,152.5,-37.5,81,5238153
albacore,jul-sept,0,153.5,-37.5,81,5238154
albacore,jul-sept,0,154.5,-37.5,81,5238153
albacore,jul-sept,0,178.5,-37.5,81,5238177
albacore,jul-sept,0,179.5,-37.5,81,5238178
albacore,jul-sept,0,-168.5,-36.5,81,5337168
albacore,jul-sept,0,95.5,-36.5,57,5237094
albacore,jul-sept,0,96.5,-36.5,57,5237095
albacore,jul-sept,0,150.5,-36.5,81,5237151
albacore,jul-sept,0,151.5,-36.5,81,5237150
albacore,jul-sept,0,152.5,-36.5,81,5237153
albacore,jul-sept,0,153.5,-36.5,81,5237154
albacore,jul-sept,0,154.5,-36.5,81,5235155
albacore,jul-sept,0,155.5,-36.5,81,5236156
albacore,jul-sept,0,176.5,-36.5,81,5237175
albacore,jul-sept,0,177.5,-36.5,81,5237176
albacore,jul-sept,0,179.5,-36.5,81,5337179
albacore,jul-sept,0,-179.5,-35.5,81,5336179
albacore,jul-sept,0,153.5,-35.5,81,5236154
albacore,jul-sept,0,175.5,-35.5,81,5236175
albacore,jul-sept,0,176.5,-35.5,81,5236177
albacore,jul-sept,0,177.5,-35.5,81,5235177
albacore,jul-sept,0,178.5,-35.5,81,5236178
albacore,jul-sept,0,179.5,-35.5,81,5336179
albacore,jul-sept,0,-179.5,-34.5,81,5235179
albacore,jul-sept,0,166.5,-34.5,81,5235165
albacore,jul-sept,0,176.5,-34.5,81,5235176
albacore,jul-sept,0,177.5,-34.5,81,5235178
albacore,jul-sept,0,-162.5,-33.5,81,5334163
albacore,jul-sept,0,-172.5,-32.5,81,5333172
albacore,jul-sept,0,-171.5,-32.5,81,5333172
albacore,jul-sept,0,14.5,-32.5,47,5233015
albacore,jul-sept,0,153.5,-32.5,81,5232152
albacore,jul-sept,0,156.5,-32.5,81,5231157
albacore,jul-sept,0,157.5,-32.5,81,5231157
albacore,jul-sept,0,-171.5,-31.5,81,5332171
albacore,jul-sept,0,157.5,-31.5,81,5231157
albacore,jul-sept,0,161.5,-31.5,81,5232161
albacore,jul-sept,0,153.5,-30.5,81,5231152
albacore,jul-sept,0,158.5,-30.5,81,5231157
albacore,jul-sept,0,160.5,-30.5,81,5231161
albacore,jul-sept,0,161.5,-30.5,81,5231161
albacore,jul-sept,0,-169.5,-29.5,81,5330170
albacore,jul-sept,0,-168.5,-29.5,81,5330167
albacore,jul-sept,0,154.5,-29.5,81,5230155
albacore,jul-sept,0,156.5,-29.5,81,5230157
albacore,jul-sept,0,160.5,-29.5,81,5230159
