species,season,abundance,longitude,latitude
black-marlin,jul-sept,0,152.5,-39.5
black-marlin,jul-sept,0,151.5,-38.5
black-marlin,jul-sept,0,152.5,-38.5
black-marlin,jul-sept,0,153.5,-38.5
black-marlin,jul-sept,0,154.5,-38.5
black-marlin,jul-sept,0,-167.5,-37.5
black-marlin,jul-sept,0,150.5,-37.5
black-marlin,jul-sept,0,151.5,-37.5
black-marlin,jul-sept,0,152.5,-37.5
black-marlin,jul-sept,0,153.5,-37.5
black-marlin,jul-sept,0,154.5,-37.5
black-marlin,jul-sept,0,178.5,-37.5
black-marlin,jul-sept,0,179.5,-37.5
black-marlin,jul-sept,0,-168.5,-36.5
black-marlin,jul-sept,0,95.5,-36.5
black-marlin,jul-sept,0,96.5,-36.5
black-marlin,jul-sept,0,150.5,-36.5
black-marlin,jul-sept,0,151.5,-36.5
black-marlin,jul-sept,0,152.5,-36.5
black-marlin,jul-sept,0,153.5,-36.5
black-marlin,jul-sept,0,154.5,-36.5
black-marlin,jul-sept,0,155.5,-36.5
black-marlin,jul-sept,0,176.5,-36.5
black-marlin,jul-sept,0,177.5,-36.5
black-marlin,jul-sept,0,179.5,-36.5
black-marlin,jul-sept,0,-179.5,-35.5
black-marlin,jul-sept,0,153.5,-35.5
black-marlin,jul-sept,0,175.5,-35.5
black-marlin,jul-sept,0,176.5,-35.5
black-marlin,jul-sept,0,177.5,-35.5
black-marlin,jul-sept,0,178.5,-35.5
black-marlin,jul-sept,0,179.5,-35.5
black-marlin,jul-sept,0,-179.5,-34.5
black-marlin,jul-sept,0,166.5,-34.5
black-marlin,jul-sept,0,176.5,-34.5
black-marlin,jul-sept,0,177.5,-34.5
black-marlin,jul-sept,0,-162.5,-33.5
black-marlin,jul-sept,0,-172.5,-32.5
black-marlin,jul-sept,0,-171.5,-32.5
black-marlin,jul-sept,0,14.5,-32.5
black-marlin,jul-sept,0,153.5,-32.5
black-marlin,jul-sept,0,156.5,-32.5
black-marlin,jul-sept,0,157.5,-32.5
black-marlin,jul-sept,0,-171.5,-31.5
black-marlin,jul-sept,0,157.5,-31.5
black-marlin,jul-sept,0,161.5,-31.5
black-marlin,jul-sept,0,153.5,-30.5
black-marlin,jul-sept,0,158.5,-30.5
black-marlin,jul-sept,0,160.5,-30.5
black-marlin,jul-sept,0,161.5,-30.5
black-marlin,jul-sept,0,-169.5,-29.5
black-marlin,jul-sept,0,-168.5,-29.5
black-marlin,jul-sept,0,154.5,-29.5
black-marlin,jul-sept,0,156.5,-29.5
black-marlin,jul-sept,0,160.5,-29.5
black-marlin,jul-sept,0,161.5,-29.5
black-marlin,jul-sept,0,163.5,-29.5
black-marlin,jul-sept,0,168.5,-29.5
black-marlin,jul-sept,0,-174.5,-28.5
black-marlin,jul-sept,0,-170.5,-28.5
black-marlin,jul-sept,0,-169.5,-28.5
black-marlin,jul-sept,0,-152.5,-28.5
black-marlin,jul-sept,0,-151.5,-28.5
black-marlin,jul-sept,0,154.5,-28.5
black-marlin,jul-sept,0,158.5,-28.5
black-marlin,jul-sept,0,159.5,-28.5
black-marlin,jul-sept,0,160.5,-28.5
black-marlin,jul-sept,0,161.5,-28.5
black-marlin,jul-sept,0,162.5,-28.5
