species,season,abundance,longitude,latitude
blue-marlin,jan-mar,0,124.5,-43.5
blue-marlin,jan-mar,0,125.5,-41.5
blue-marlin,jan-mar,0,138.5,-41.5
blue-marlin,jan-mar,0,-84.5,-40.5
blue-marlin,jan-mar,0,126.5,-40.5
blue-marlin,jan-mar,0,-86.5,-39.5
blue-marlin,jan-mar,0,83.5,-39.5
blue-marlin,jan-mar,0,85.5,-39.5
blue-marlin,jan-mar,0,87.5,-39.5
blue-marlin,jan-mar,0,136.5,-39.5
blue-marlin,jan-mar,0,-87.5,-38.5
blue-marlin,jan-mar,0,81.5,-38.5
blue-marlin,jan-mar,0,-89.5,-37.5
blue-marlin,jan-mar,0,86.5,-37.5
blue-marlin,jan-mar,0,115.5,-37.5
blue-marlin,jan-mar,0,125.5,-37.5
blue-marlin,jan-mar,0,132.5,-37.5
blue-marlin,jan-mar,0,-91.5,-36.5
blue-marlin,jan-mar,0,-90.5,-36.5
blue-marlin,jan-mar,0,80.5,-36.5
blue-marlin,jan-mar,0,88.5,-36.5
blue-marlin,jan-mar,0,114.5,-36.5
blue-marlin,jan-mar,0,127.5,-36.5
blue-marlin,jan-mar,0,130.5,-36.5
blue-marlin,jan-mar,0,-92.5,-35.5
blue-marlin,jan-mar,0,78.5,-35.5
blue-marlin,jan-mar,0,89.5,-35.5
blue-marlin,jan-mar,0,11.5,-34.5
blue-marlin,jan-mar,0,14.5,-34.5
blue-marlin,jan-mar,0,15.5,-34.5
blue-marlin,jan-mar,0,85.5,-34.5
blue-marlin,jan-mar,0,89.5,-34.5
blue-marlin,jan-mar,0,154.5,-34.5
blue-marlin,jan-mar,0,158.5,-34.5
blue-marlin,jan-mar,0,-94.5,-33.5
blue-marlin,jan-mar,0,-93.5,-33.5
blue-marlin,jan-mar,0,2.5,-33.5
blue-marlin,jan-mar,0,4.5,-33.5
blue-marlin,jan-mar,0,7.5,-33.5
blue-marlin,jan-mar,0,8.5,-33.5
blue-marlin,jan-mar,0,9.5,-33.5
blue-marlin,jan-mar,0,14.5,-33.5
blue-marlin,jan-mar,0,15.5,-33.5
blue-marlin,jan-mar,0,76.5,-33.5
blue-marlin,jan-mar,0,84.5,-33.5
blue-marlin,jan-mar,0,155.5,-33.5
blue-marlin,jan-mar,0,156.5,-33.5
blue-marlin,jan-mar,0,157.5,-33.5
blue-marlin,jan-mar,0,158.5,-33.5
blue-marlin,jan-mar,0,159.5,-33.5
blue-marlin,jan-mar,0,160.5,-33.5
blue-marlin,jan-mar,0,-95.5,-32.5
blue-marlin,jan-mar,0,1.5,-32.5
blue-marlin,jan-mar,0,2.5,-32.5
blue-marlin,jan-mar,0,7.5,-32.5
blue-marlin,jan-mar,0,8.5,-32.5
blue-marlin,jan-mar,0,83.5,-32.5
blue-marlin,jan-mar,0,84.5,-32.5
blue-marlin,jan-mar,0,90.5,-32.5
blue-marlin,jan-mar,0,164.5,-32.5
blue-marlin,jan-mar,0,-96.5,-31.5
blue-marlin,jan-mar,0,1.5,-31.5
blue-marlin,jan-mar,0,2.5,-31.5
blue-marlin,jan-mar,0,75.5,-31.5
blue-marlin,jan-mar,0,84.5,-31.5
blue-marlin,jan-mar,0,86.5,-31.5
blue-marlin,jan-mar,0,87.5,-31.5
blue-marlin,jan-mar,0,100.5,-31.5
blue-marlin,jan-mar,0,101.5,-31.5
blue-marlin,jan-mar,0,113.5,-31.5
blue-marlin,jan-mar,0,114.5,-31.5
blue-marlin,jan-mar,0,157.5,-31.5
blue-marlin,jan-mar,0,164.5,-31.5
blue-marlin,jan-mar,0,-98.5,-30.5
blue-marlin,jan-mar,0,74.5,-30.5
blue-marlin,jan-mar,0,84.5,-30.5
blue-marlin,jan-mar,0,85.5,-30.5
