species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
bluefin-tuna,jul-sept,0,152.5,-39.5,81,5240153
bluefin-tuna,jul-sept,0,151.5,-38.5,81,5238151
bluefin-tuna,jul-sept,0,152.5,-38.5,81,5239151
bluefin-tuna,jul-sept,0,153.5,-38.5,81,5239153
bluefin-tuna,jul-sept,0,154.5,-38.5,81,5239155
bluefin-tuna,jul-sept,0,-167.5,-37.5,81,5338168
bluefin-tuna,jul-sept,0,150.5,-37.5,57,5238150
bluefin-tuna,jul-sept,0,151.5,-37.5,81,5238150
bluefin-tuna,jul-sept,0,152.5,-37.5,81,5238153
bluefin-tuna,jul-sept,0,153.5,-37.5,81,5238154
bluefin-tuna,jul-sept,0,154.5,-37.5,81,5238153
bluefin-tuna,jul-sept,0,178.5,-37.5,81,5238177
bluefin-tuna,jul-sept,0,179.5,-37.5,81,5238178
bluefin-tuna,jul-sept,0,-168.5,-36.5,81,5337168
bluefin-tuna,jul-sept,0,95.5,-36.5,57,5237094
bluefin-tuna,jul-sept,0,96.5,-36.5,57,5237095
bluefin-tuna,jul-sept,0,150.5,-36.5,81,5237151
bluefin-tuna,jul-sept,0,151.5,-36.5,81,5237150
bluefin-tuna,jul-sept,0,152.5,-36.5,81,5237153
bluefin-tuna,jul-sept,0,153.5,-36.5,81,5237154
bluefin-tuna,jul-sept,0,154.5,-36.5,81,5235155
bluefin-tuna,jul-sept,0,155.5,-36.5,81,5236156
bluefin-tuna,jul-sept,0,176.5,-36.5,81,5237175
bluefin-tuna,jul-sept,0,177.5,-36.5,81,5237176
bluefin-tuna,jul-sept,0,179.5,-36.5,81,5337179
bluefin-tuna,jul-sept,0,-179.5,-35.5,81,5336179
bluefin-tuna,jul-sept,0,153.5,-35.5,81,5236154
bluefin-tuna,jul-sept,0,175.5,-35.5,81,5236175
bluefin-tuna,jul-sept,0,176.5,-35.5,81,5236177
bluefin-tuna,jul-sept,0,177.5,-35.5,81,5235177
bluefin-tuna,jul-sept,0,178.5,-35.5,81,5236178
bluefin-tuna,jul-sept,0,179.5,-35.5,81,5336179
bluefin-tuna,jul-sept,0,-179.5,-34.5,81,5235179
bluefin-tuna,jul-sept,0,166.5,-34.5,81,5235165
bluefin-tuna,jul-sept,0,176.5,-34.5,81,5235176
bluefin-tuna,jul-sept,0,177.5,-34.5,81,5235178
bluefin-tuna,jul-sept,0,-162.5,-33.5,81,5334163
bluefin-tuna,jul-sept,0,-172.5,-32.5,81,5333172
bluefin-tuna,jul-sept,0,-171.5,-32.5,81,5333172
bluefin-tuna,jul-sept,0,14.5,-32.5,47,5233015
bluefin-tuna,jul-sept,0,153.5,-32.5,81,5232152
bluefin-tuna,jul-sept,0,156.5,-32.5,81,5231157
bluefin-tuna,jul-sept,0,157.5,-32.5,81,5231157
bluefin-tuna,jul-sept,0,-171.5,-31.5,81,5332171
bluefin-tuna,jul-sept,0,157.5,-31.5,81,5231157
bluefin-tuna,jul-sept,0,161.5,-31.5,81,5232161
bluefin-tuna,jul-sept,0,153.5,-30.5,81,5231152
bluefin-tuna,jul-sept,0,158.5,-30.5,81,5231157
bluefin-tuna,jul-sept,0,160.5,-30.5,81,5231161
bluefin-tuna,jul-sept,0,161.5,-30.5,81,5231161
bluefin-tuna,jul-sept,0,-169.5,-29.5,81,5330170
bluefin-tuna,jul-sept,0,-168.5,-29.5,81,5330167
bluefin-tuna,jul-sept,0,154.5,-29.5,81,5230155
bluefin-tuna,jul-sept,0,156.5,-29.5,81,5230157
bluefin-tuna,jul-sept,0,160.5,-29.5,81,5230159
bluefin-tuna,jul-sept,0,161.5,-29.5,81,5230162
bluefin-tuna,jul-sept,0,163.5,-29.5,81,5229164
bluefin-tuna,jul-sept,0,168.5,-29.5,81,5230168
bluefin-tuna,jul-sept,0,-174.5,-28.5,81,5328175
bluefin-tuna,jul-sept,0,-170.5,-28.5,81,5329169
bluefin-tuna,jul-sept,0,-169.5,-28.5,81,5329168
bluefin-tuna,jul-sept,0,-152.5,-28.5,81,5329153
bluefin-tuna,jul-sept,0,-151.5,-28.5,81,5329151
bluefin-tuna,jul-sept,0,154.5,-28.5,81,5227153
bluefin-tuna,jul-sept,0,158.5,-28.5,81,5228157
bluefin-tuna,jul-sept,0,159.5,-28.5,81,5228158
bluefin-tuna,jul-sept,0,160.5,-28.5,81,5229160
bluefin-tuna,jul-sept,0,161.5,-28.5,81,5229160
bluefin-tuna,jul-sept,0,162.5,-28.5,81,5227163
bluefin-tuna,jul-sept,0,163.5,-28.5,81,5229164
bluefin-tuna,jul-sept,0,164.5,-28.5,81,5229164
bluefin-tuna,jul-sept,0,165.5,-28.5,81,5229164
bluefin-tuna,jul-sept,0,166.5,-28.5,81,5229166
bluefin-tuna,jul-sept,0,168.5,-28.5,81,5229169
bluefin-tuna,jul-sept,0,-178.5,-27.5,81,5327177
bluefin-tuna,jul-sept,0,-176.5,-27.5,81,5328176
bluefin-tuna,jul-sept,0,-175.5,-27.5,81,5328176
bluefin-tuna,jul-sept,0,-174.5,-27.5,81,5328175
bluefin-tuna,jul-sept,0,-154.5,-27.5,81,5328154
bluefin-tuna,jul-sept,0,-150.5,-27.5,81,5328149
bluefin-tuna,jul-sept,0,153.5,-27.5,71,5228154
bluefin-tuna,jul-sept,0,154.5,-27.5,81,5228154
bluefin-tuna,jul-sept,0,155.5,-27.5,81,5228156
bluefin-tuna,jul-sept,0,157.5,-27.5,81,5228157
bluefin-tuna,jul-sept,0,158.5,-27.5,81,5227159
bluefin-tuna,jul-sept,0,159.5,-27.5,81,5227159
bluefin-tuna,jul-sept,0,160.5,-27.5,81,5228160
bluefin-tuna,jul-sept,0,161.5,-27.5,81,5228162
bluefin-tuna,jul-sept,0,162.5,-27.5,81,5227163
bluefin-tuna,jul-sept,0,163.5,-27.5,81,5227163
bluefin-tuna,jul-sept,0,165.5,-27.5,81,5228164
bluefin-tuna,jul-sept,0,166.5,-27.5,81,5226167
bluefin-tuna,jul-sept,0,167.5,-27.5,81,5227168
bluefin-tuna,jul-sept,0,168.5,-27.5,81,5228167
bluefin-tuna,jul-sept,0,169.5,-27.5,81,5228170
bluefin-tuna,jul-sept,0,176.5,-27.5,81,5228177
bluefin-tuna,jul-sept,0,-179.5,-26.5,81,5327179
bluefin-tuna,jul-sept,0,-178.5,-26.5,81,5327179
bluefin-tuna,jul-sept,0,-176.5,-26.5,81,5327177
bluefin-tuna,jul-sept,0,-175.5,-26.5,81,5327174
bluefin-tuna,jul-sept,0,-174.5,-26.5,81,5327174
bluefin-tuna,jul-sept,0,-173.5,-26.5,81,5327174
bluefin-tuna,jul-sept,0,6.5,-26.5,47,5227006
bluefin-tuna,jul-sept,0,7.5,-26.5,47,5227006
bluefin-tuna,jul-sept,0,111.5,-26.5,57,5225110
bluefin-tuna,jul-sept,0,112.5,-26.5,57,5227112
bluefin-tuna,jul-sept,0,153.5,-26.5,71,5227154
bluefin-tuna,jul-sept,0,154.5,-26.5,81,5227154
bluefin-tuna,jul-sept,0,155.5,-26.5,81,5227154
bluefin-tuna,jul-sept,0,156.5,-26.5,81,5227156
bluefin-tuna,jul-sept,0,157.5,-26.5,81,5227156
bluefin-tuna,jul-sept,0,158.5,-26.5,81,5227159
bluefin-tuna,jul-sept,0,159.5,-26.5,81,5227160
bluefin-tuna,jul-sept,0,160.5,-26.5,81,5227159
bluefin-tuna,jul-sept,0,161.5,-26.5,81,5227162
bluefin-tuna,jul-sept,0,162.5,-26.5,81,5227163
bluefin-tuna,jul-sept,0,163.5,-26.5,81,5227163
bluefin-tuna,jul-sept,0,165.5,-26.5,81,5227164
bluefin-tuna,jul-sept,0,166.5,-26.5,81,5226167
bluefin-tuna,jul-sept,0,167.5,-26.5,81,5227168
bluefin-tuna,jul-sept,0,168.5,-26.5,81,5227167
bluefin-tuna,jul-sept,0,169.5,-26.5,81,5227169
bluefin-tuna,jul-sept,0,175.5,-26.5,81,5227174
bluefin-tuna,jul-sept,0,176.5,-26.5,81,5227176
bluefin-tuna,jul-sept,0,-177.5,-25.5,81,5326176
bluefin-tuna,jul-sept,0,62.5,-25.5,51,5224062
bluefin-tuna,jul-sept,0,110.5,-25.5,57,5224110
bluefin-tuna,jul-sept,0,111.5,-25.5,57,5224110
bluefin-tuna,jul-sept,0,112.5,-25.5,57,5226113
bluefin-tuna,jul-sept,0,153.5,-25.5,71,5226153
bluefin-tuna,jul-sept,0,154.5,-25.5,81,5226155
bluefin-tuna,jul-sept,0,155.5,-25.5,81,5226156
bluefin-tuna,jul-sept,0,156.5,-25.5,81,5226156
bluefin-tuna,jul-sept,0,157.5,-25.5,81,5226156
bluefin-tuna,jul-sept,0,158.5,-25.5,81,5226159
bluefin-tuna,jul-sept,0,159.5,-25.5,81,5226159
bluefin-tuna,jul-sept,0,160.5,-25.5,81,5226161
bluefin-tuna,jul-sept,0,161.5,-25.5,81,5226162
bluefin-tuna,jul-sept,0,162.5,-25.5,81,5226162
bluefin-tuna,jul-sept,0,163.5,-25.5,81,5226162
bluefin-tuna,jul-sept,0,164.5,-25.5,81,5226165
bluefin-tuna,jul-sept,0,167.5,-25.5,81,5224167
bluefin-tuna,jul-sept,0,168.5,-25.5,81,5226168
bluefin-tuna,jul-sept,0,169.5,-25.5,81,5226168
bluefin-tuna,jul-sept,0,174.5,-25.5,81,5226174
bluefin-tuna,jul-sept,0,175.5,-25.5,81,5226174
bluefin-tuna,jul-sept,0,176.5,-25.5,81,5226176
bluefin-tuna,jul-sept,0,-177.5,-24.5,81,5325176
bluefin-tuna,jul-sept,0,111.5,-24.5,57,5224110
bluefin-tuna,jul-sept,0,112.5,-24.5,57,5225111
bluefin-tuna,jul-sept,0,153.5,-24.5,71,5225152
bluefin-tuna,jul-sept,0,154.5,-24.5,81,5225153
bluefin-tuna,jul-sept,0,155.5,-24.5,81,5225154
bluefin-tuna,jul-sept,0,156.5,-24.5,81,5225155
bluefin-tuna,jul-sept,0,157.5,-24.5,81,5225157
bluefin-tuna,jul-sept,0,158.5,-24.5,81,5225157
bluefin-tuna,jul-sept,0,159.5,-24.5,81,5225158
bluefin-tuna,jul-sept,0,160.5,-24.5,81,5224161
bluefin-tuna,jul-sept,0,161.5,-24.5,81,5224161
bluefin-tuna,jul-sept,0,163.5,-24.5,81,5224162
bluefin-tuna,jul-sept,0,168.5,-24.5,81,5225169
bluefin-tuna,jul-sept,0,169.5,-24.5,81,5225169
bluefin-tuna,jul-sept,0,170.5,-24.5,81,5225171
bluefin-tuna,jul-sept,0,174.5,-24.5,81,5224173
bluefin-tuna,jul-sept,0,175.5,-24.5,81,5225175
bluefin-tuna,jul-sept,0,-177.5,-23.5,71,5323178
bluefin-tuna,jul-sept,0,111.5,-23.5,57,5224111
bluefin-tuna,jul-sept,0,112.5,-23.5,57,5224111
bluefin-tuna,jul-sept,0,113.5,-23.5,57,5224113
bluefin-tuna,jul-sept,0,153.5,-23.5,71,5224154
bluefin-tuna,jul-sept,0,154.5,-23.5,71,5224154
bluefin-tuna,jul-sept,0,155.5,-23.5,71,5222155
bluefin-tuna,jul-sept,0,157.5,-23.5,71,5224156
bluefin-tuna,jul-sept,0,158.5,-23.5,71,5224157
bluefin-tuna,jul-sept,0,161.5,-23.5,71,5224161
bluefin-tuna,jul-sept,0,167.5,-23.5,71,5224166
bluefin-tuna,jul-sept,0,168.5,-23.5,71,5224169
bluefin-tuna,jul-sept,0,169.5,-23.5,71,5224169
bluefin-tuna,jul-sept,0,170.5,-23.5,71,5224171
bluefin-tuna,jul-sept,0,111.5,-22.5,57,5223112
bluefin-tuna,jul-sept,0,112.5,-22.5,57,5223112
bluefin-tuna,jul-sept,0,113.5,-22.5,57,5223114
bluefin-tuna,jul-sept,0,153.5,-22.5,71,5223152
bluefin-tuna,jul-sept,0,154.5,-22.5,71,5223153
bluefin-tuna,jul-sept,0,156.5,-22.5,71,5222155
bluefin-tuna,jul-sept,0,158.5,-22.5,71,5223157
bluefin-tuna,jul-sept,0,159.5,-22.5,71,5223158
bluefin-tuna,jul-sept,0,160.5,-22.5,71,5223160
bluefin-tuna,jul-sept,0,161.5,-22.5,71,5223160
bluefin-tuna,jul-sept,0,170.5,-22.5,71,5223171
bluefin-tuna,jul-sept,0,171.5,-22.5,71,5223170
bluefin-tuna,jul-sept,0,172.5,-22.5,71,5223172
bluefin-tuna,jul-sept,0,-177.5,-21.5,71,5320177
bluefin-tuna,jul-sept,0,111.5,-21.5,57,5222111
bluefin-tuna,jul-sept,0,112.5,-21.5,57,5222111
bluefin-tuna,jul-sept,0,113.5,-21.5,57,5222113
bluefin-tuna,jul-sept,0,114.5,-21.5,57,5222115
bluefin-tuna,jul-sept,0,155.5,-21.5,71,5222155
bluefin-tuna,jul-sept,0,156.5,-21.5,71,5222155
bluefin-tuna,jul-sept,0,161.5,-21.5,71,5222161
bluefin-tuna,jul-sept,0,164.5,-21.5,71,5222165
bluefin-tuna,jul-sept,0,-177.5,-20.5,71,5321176
bluefin-tuna,jul-sept,0,113.5,-20.5,57,5221113
bluefin-tuna,jul-sept,0,114.5,-20.5,57,5221115
bluefin-tuna,jul-sept,0,153.5,-20.5,71,5221153
bluefin-tuna,jul-sept,0,155.5,-20.5,71,5221156
bluefin-tuna,jul-sept,0,156.5,-20.5,71,5221157
bluefin-tuna,jul-sept,0,157.5,-20.5,71,5221157
bluefin-tuna,jul-sept,0,169.5,-20.5,71,5221170
bluefin-tuna,jul-sept,0,-177.5,-19.5,71,5320177
bluefin-tuna,jul-sept,0,-176.5,-19.5,71,5320177
bluefin-tuna,jul-sept,0,113.5,-19.5,57,5220114
bluefin-tuna,jul-sept,0,114.5,-19.5,57,5220114
bluefin-tuna,jul-sept,0,115.5,-19.5,57,5220114
bluefin-tuna,jul-sept,0,155.5,-19.5,71,5220156
bluefin-tuna,jul-sept,0,156.5,-19.5,71,5220157
bluefin-tuna,jul-sept,0,157.5,-19.5,71,5220157
bluefin-tuna,jul-sept,0,-178.5,-18.5,71,5319177
bluefin-tuna,jul-sept,0,-177.5,-18.5,71,5319177
bluefin-tuna,jul-sept,0,-176.5,-18.5,71,5319177
bluefin-tuna,jul-sept,0,-175.5,-18.5,77,5319175
bluefin-tuna,jul-sept,0,-149.5,-18.5,77,5318148
bluefin-tuna,jul-sept,0,-148.5,-18.5,77,5319147
bluefin-tuna,jul-sept,0,86.5,-18.5,57,5219085
bluefin-tuna,jul-sept,0,91.5,-18.5,57,5219090
bluefin-tuna,jul-sept,0,111.5,-18.5,57,5219112
bluefin-tuna,jul-sept,0,114.5,-18.5,57,5219113
bluefin-tuna,jul-sept,0,115.5,-18.5,57,5219114
bluefin-tuna,jul-sept,0,116.5,-18.5,57,5219115
bluefin-tuna,jul-sept,0,117.5,-18.5,57,5219117
bluefin-tuna,jul-sept,0,118.5,-18.5,57,5219117
bluefin-tuna,jul-sept,0,147.5,-18.5,71,5219147
bluefin-tuna,jul-sept,0,148.5,-18.5,71,5219147
bluefin-tuna,jul-sept,0,149.5,-18.5,71,5218148
bluefin-tuna,jul-sept,0,150.5,-18.5,71,5219150
bluefin-tuna,jul-sept,0,151.5,-18.5,71,5219152
bluefin-tuna,jul-sept,0,152.5,-18.5,71,5219152
bluefin-tuna,jul-sept,0,153.5,-18.5,71,5219153
bluefin-tuna,jul-sept,0,155.5,-18.5,71,5219156
bluefin-tuna,jul-sept,0,156.5,-18.5,71,5219156
bluefin-tuna,jul-sept,0,157.5,-18.5,71,5219158
