species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
bonitos,jan-mar,0,124.5,-43.5,57,5244125
bonitos,jan-mar,0,125.5,-41.5,57,5242125
bonitos,jan-mar,0,138.5,-41.5,57,5242137
bonitos,jan-mar,0,-84.5,-40.5,87,5340085
bonitos,jan-mar,0,126.5,-40.5,57,5241126
bonitos,jan-mar,0,-86.5,-39.5,87,5340085
bonitos,jan-mar,0,83.5,-39.5,57,5239084
bonitos,jan-mar,0,85.5,-39.5,57,5240085
bonitos,jan-mar,0,87.5,-39.5,57,5240086
bonitos,jan-mar,0,136.5,-39.5,57,5240135
bonitos,jan-mar,0,-87.5,-38.5,87,5337087
bonitos,jan-mar,0,81.5,-38.5,57,5239081
bonitos,jan-mar,0,-89.5,-37.5,87,5338090
bonitos,jan-mar,0,86.5,-37.5,57,5238087
bonitos,jan-mar,0,115.5,-37.5,57,5237115
bonitos,jan-mar,0,125.5,-37.5,57,5238124
bonitos,jan-mar,0,132.5,-37.5,57,5238131
bonitos,jan-mar,0,-91.5,-36.5,87,5337090
bonitos,jan-mar,0,-90.5,-36.5,87,5337090
bonitos,jan-mar,0,80.5,-36.5,57,5237079
bonitos,jan-mar,0,88.5,-36.5,57,5237087
bonitos,jan-mar,0,114.5,-36.5,57,5237113
bonitos,jan-mar,0,127.5,-36.5,57,5235128
bonitos,jan-mar,0,130.5,-36.5,57,5235130
bonitos,jan-mar,0,-92.5,-35.5,87,5336093
bonitos,jan-mar,0,78.5,-35.5,51,5236079
bonitos,jan-mar,0,89.5,-35.5,57,5234090
bonitos,jan-mar,0,11.5,-34.5,47,5235012
bonitos,jan-mar,0,14.5,-34.5,47,5234014
bonitos,jan-mar,0,15.5,-34.5,47,5235015
bonitos,jan-mar,0,85.5,-34.5,57,5235084
bonitos,jan-mar,0,89.5,-34.5,57,5234088
bonitos,jan-mar,0,154.5,-34.5,81,5233155
bonitos,jan-mar,0,158.5,-34.5,81,5235157
bonitos,jan-mar,0,-94.5,-33.5,87,5332093
bonitos,jan-mar,0,-93.5,-33.5,87,5334092
bonitos,jan-mar,0,2.5,-33.5,47,5234003
bonitos,jan-mar,0,4.5,-33.5,47,5233005
bonitos,jan-mar,0,7.5,-33.5,47,5234008
bonitos,jan-mar,0,8.5,-33.5,47,5234009
bonitos,jan-mar,0,9.5,-33.5,47,5234009
bonitos,jan-mar,0,14.5,-33.5,47,5234014
bonitos,jan-mar,0,15.5,-33.5,47,5234014
bonitos,jan-mar,0,76.5,-33.5,51,5234075
bonitos,jan-mar,0,84.5,-33.5,57,5234084
bonitos,jan-mar,0,155.5,-33.5,81,5234154
bonitos,jan-mar,0,156.5,-33.5,81,5234156
bonitos,jan-mar,0,157.5,-33.5,81,5234156
bonitos,jan-mar,0,158.5,-33.5,81,5234159
bonitos,jan-mar,0,159.5,-33.5,81,5234159
bonitos,jan-mar,0,160.5,-33.5,81,5234159
bonitos,jan-mar,0,-95.5,-32.5,87,5333095
bonitos,jan-mar,0,1.5,-32.5,47,5233000
bonitos,jan-mar,0,2.5,-32.5,47,5233001
bonitos,jan-mar,0,7.5,-32.5,47,5233006
bonitos,jan-mar,0,8.5,-32.5,47,5233008
bonitos,jan-mar,0,83.5,-32.5,57,5233083
bonitos,jan-mar,0,84.5,-32.5,57,5233083
bonitos,jan-mar,0,90.5,-32.5,57,5232089
bonitos,jan-mar,0,164.5,-32.5,81,5233163
bonitos,jan-mar,0,-96.5,-31.5,87,5331095
bonitos,jan-mar,0,1.5,-31.5,47,5232002
bonitos,jan-mar,0,2.5,-31.5,47,5232003
bonitos,jan-mar,0,75.5,-31.5,51,5231074
bonitos,jan-mar,0,84.5,-31.5,57,5232085
bonitos,jan-mar,0,86.5,-31.5,57,5232086
bonitos,jan-mar,0,87.5,-31.5,57,5232086
bonitos,jan-mar,0,100.5,-31.5,57,5232101
bonitos,jan-mar,0,101.5,-31.5,57,5231102
bonitos,jan-mar,0,113.5,-31.5,57,5232112
bonitos,jan-mar,0,114.5,-31.5,57,5232114
bonitos,jan-mar,0,157.5,-31.5,81,5231157
bonitos,jan-mar,0,164.5,-31.5,81,5232165
bonitos,jan-mar,0,-98.5,-30.5,87,5331097
bonitos,jan-mar,0,74.5,-30.5,51,5229075
bonitos,jan-mar,0,84.5,-30.5,57,5231085
bonitos,jan-mar,0,85.5,-30.5,57,5231086
bonitos,jan-mar,0,86.5,-30.5,57,5229087
bonitos,jan-mar,0,87.5,-30.5,57,5229088
bonitos,jan-mar,0,103.5,-30.5,57,5231104
bonitos,jan-mar,0,104.5,-30.5,57,5231104
bonitos,jan-mar,0,105.5,-30.5,57,5231105
bonitos,jan-mar,0,109.5,-30.5,57,5231109
bonitos,jan-mar,0,110.5,-30.5,57,5231109
bonitos,jan-mar,0,111.5,-30.5,57,5231110
bonitos,jan-mar,0,112.5,-30.5,57,5229111
bonitos,jan-mar,0,161.5,-30.5,81,5231161
bonitos,jan-mar,0,3.5,-29.5,47,5230003
bonitos,jan-mar,0,72.5,-29.5,51,5230073
bonitos,jan-mar,0,92.5,-29.5,57,5228091
bonitos,jan-mar,0,100.5,-29.5,57,5230099
bonitos,jan-mar,0,102.5,-29.5,57,5230102
bonitos,jan-mar,0,103.5,-29.5,57,5229103
bonitos,jan-mar,0,105.5,-29.5,57,5230105
bonitos,jan-mar,0,106.5,-29.5,57,5230105
bonitos,jan-mar,0,108.5,-29.5,57,5230107
bonitos,jan-mar,0,-100.5,-28.5,87,5329100
bonitos,jan-mar,0,-99.5,-28.5,87,5329100
bonitos,jan-mar,0,-34.5,-28.5,41,5329033
bonitos,jan-mar,0,-32.5,-28.5,41,5329033
bonitos,jan-mar,0,-31.5,-28.5,41,5329030
bonitos,jan-mar,0,92.5,-28.5,57,5228091
bonitos,jan-mar,0,101.5,-28.5,57,5229102
bonitos,jan-mar,0,102.5,-28.5,57,5229101
bonitos,jan-mar,0,103.5,-28.5,57,5228102
bonitos,jan-mar,0,104.5,-28.5,57,5229104
bonitos,jan-mar,0,105.5,-28.5,57,5229106
bonitos,jan-mar,0,-36.5,-27.5,41,5328037
bonitos,jan-mar,0,-35.5,-27.5,41,5328034
bonitos,jan-mar,0,-34.5,-27.5,41,5328033
bonitos,jan-mar,0,-30.5,-27.5,41,5327030
bonitos,jan-mar,0,-29.5,-27.5,41,5328030
bonitos,jan-mar,0,-8.5,-27.5,47,5328009
bonitos,jan-mar,0,3.5,-27.5,47,5227004
bonitos,jan-mar,0,4.5,-27.5,47,5227004
bonitos,jan-mar,0,71.5,-27.5,51,5227071
bonitos,jan-mar,0,86.5,-27.5,57,5228086
bonitos,jan-mar,0,93.5,-27.5,57,5228093
bonitos,jan-mar,0,94.5,-27.5,57,5228093
bonitos,jan-mar,0,102.5,-27.5,57,5227102
bonitos,jan-mar,0,103.5,-27.5,57,5227102
bonitos,jan-mar,0,105.5,-27.5,57,5227106
bonitos,jan-mar,0,106.5,-27.5,57,5227106
bonitos,jan-mar,0,107.5,-27.5,57,5228108
bonitos,jan-mar,0,155.5,-27.5,81,5228156
bonitos,jan-mar,0,156.5,-27.5,81,5228157
bonitos,jan-mar,0,165.5,-27.5,81,5228164
bonitos,jan-mar,0,-101.5,-26.5,87,5327101
bonitos,jan-mar,0,-38.5,-26.5,41,5326038
bonitos,jan-mar,0,-37.5,-26.5,41,5326038
bonitos,jan-mar,0,-28.5,-26.5,41,5327029
bonitos,jan-mar,0,-27.5,-26.5,41,5327027
bonitos,jan-mar,0,-26.5,-26.5,41,5327027
bonitos,jan-mar,0,69.5,-26.5,51,5227068
bonitos,jan-mar,0,93.5,-26.5,57,5227094
bonitos,jan-mar,0,96.5,-26.5,57,5227097
bonitos,jan-mar,0,102.5,-26.5,57,5227102
bonitos,jan-mar,0,103.5,-26.5,57,5227102
bonitos,jan-mar,0,104.5,-26.5,57,5227103
bonitos,jan-mar,0,106.5,-26.5,57,5227106
bonitos,jan-mar,0,107.5,-26.5,57,5227107
bonitos,jan-mar,0,108.5,-26.5,57,5227107
bonitos,jan-mar,0,109.5,-26.5,57,5227108
bonitos,jan-mar,0,157.5,-26.5,81,5227156
bonitos,jan-mar,0,-102.5,-25.5,87,5326102
bonitos,jan-mar,0,-101.5,-25.5,87,5326102
bonitos,jan-mar,0,-39.5,-25.5,41,5326040
bonitos,jan-mar,0,-38.5,-25.5,41,5326038
bonitos,jan-mar,0,-25.5,-25.5,41,5326026
bonitos,jan-mar,0,-9.5,-25.5,47,5326008
bonitos,jan-mar,0,86.5,-25.5,57,5224086
bonitos,jan-mar,0,94.5,-25.5,57,5226094
bonitos,jan-mar,0,99.5,-25.5,57,5226100
bonitos,jan-mar,0,104.5,-25.5,57,5226105
bonitos,jan-mar,0,105.5,-25.5,57,5226105
bonitos,jan-mar,0,106.5,-25.5,57,5225106
bonitos,jan-mar,0,108.5,-25.5,57,5226108
bonitos,jan-mar,0,109.5,-25.5,57,5224108
bonitos,jan-mar,0,156.5,-25.5,81,5226156
bonitos,jan-mar,0,157.5,-25.5,81,5226156
bonitos,jan-mar,0,169.5,-25.5,81,5226168
bonitos,jan-mar,0,-104.5,-24.5,87,5325105
bonitos,jan-mar,0,-103.5,-24.5,87,5325102
bonitos,jan-mar,0,-39.5,-24.5,41,5325038
bonitos,jan-mar,0,-26.5,-24.5,41,5325025
bonitos,jan-mar,0,-25.5,-24.5,41,5325025
bonitos,jan-mar,0,-17.5,-24.5,47,5325017
bonitos,jan-mar,0,5.5,-24.5,47,5224006
bonitos,jan-mar,0,68.5,-24.5,51,5224068
bonitos,jan-mar,0,95.5,-24.5,57,5223096
bonitos,jan-mar,0,99.5,-24.5,57,5225100
bonitos,jan-mar,0,108.5,-24.5,57,5225107
bonitos,jan-mar,0,156.5,-24.5,81,5225155
bonitos,jan-mar,0,157.5,-24.5,81,5225157
bonitos,jan-mar,0,158.5,-24.5,81,5225157
bonitos,jan-mar,0,-137.5,-23.5,77,5324138
bonitos,jan-mar,0,-104.5,-23.5,87,5323105
bonitos,jan-mar,0,-28.5,-23.5,41,5324027
bonitos,jan-mar,0,-27.5,-23.5,41,5323026
bonitos,jan-mar,0,-26.5,-23.5,41,5324025
bonitos,jan-mar,0,-10.5,-23.5,47,5324010
bonitos,jan-mar,0,-9.5,-23.5,47,5324010
bonitos,jan-mar,0,4.5,-23.5,47,5222004
bonitos,jan-mar,0,67.5,-23.5,51,5224068
bonitos,jan-mar,0,95.5,-23.5,57,5223096
bonitos,jan-mar,0,109.5,-23.5,57,5224109
bonitos,jan-mar,0,156.5,-23.5,71,5222155
bonitos,jan-mar,0,157.5,-23.5,71,5224156
bonitos,jan-mar,0,158.5,-23.5,71,5224157
bonitos,jan-mar,0,162.5,-23.5,71,5224161
bonitos,jan-mar,0,-105.5,-22.5,87,5323106
bonitos,jan-mar,0,-29.5,-22.5,41,5322029
bonitos,jan-mar,0,-26.5,-22.5,41,5323026
bonitos,jan-mar,0,-17.5,-22.5,47,5322016
bonitos,jan-mar,0,-10.5,-22.5,47,5323009
bonitos,jan-mar,0,4.5,-22.5,47,5223004
bonitos,jan-mar,0,63.5,-22.5,51,5222063
bonitos,jan-mar,0,65.5,-22.5,51,5222064
bonitos,jan-mar,0,107.5,-22.5,57,5221107
bonitos,jan-mar,0,113.5,-22.5,57,5223114
bonitos,jan-mar,0,153.5,-22.5,71,5223152
bonitos,jan-mar,0,154.5,-22.5,71,5223153
bonitos,jan-mar,0,155.5,-22.5,71,5222155
bonitos,jan-mar,0,156.5,-22.5,71,5222155
bonitos,jan-mar,0,157.5,-22.5,71,5223157
bonitos,jan-mar,0,158.5,-22.5,71,5223157
bonitos,jan-mar,0,160.5,-22.5,71,5223160
bonitos,jan-mar,0,172.5,-22.5,71,5223172
bonitos,jan-mar,0,-141.5,-21.5,77,5322140
bonitos,jan-mar,0,-106.5,-21.5,87,5322107
bonitos,jan-mar,0,-39.5,-21.5,41,5322040
bonitos,jan-mar,0,-32.5,-21.5,41,5322031
bonitos,jan-mar,0,-31.5,-21.5,41,5322031
bonitos,jan-mar,0,-17.5,-21.5,47,5321018
bonitos,jan-mar,0,-10.5,-21.5,47,5321010
bonitos,jan-mar,0,4.5,-21.5,47,5222004
bonitos,jan-mar,0,59.5,-21.5,51,5221060
bonitos,jan-mar,0,61.5,-21.5,51,5222062
bonitos,jan-mar,0,62.5,-21.5,51,5222063
bonitos,jan-mar,0,96.5,-21.5,57,5221095
bonitos,jan-mar,0,110.5,-21.5,57,5222111
bonitos,jan-mar,0,113.5,-21.5,57,5222113
bonitos,jan-mar,0,156.5,-21.5,71,5222155
bonitos,jan-mar,0,157.5,-21.5,71,5222157
bonitos,jan-mar,0,158.5,-21.5,71,5222157
bonitos,jan-mar,0,-108.5,-20.5,87,5320107
bonitos,jan-mar,0,-39.5,-20.5,41,5321038
bonitos,jan-mar,0,-34.5,-20.5,41,5319033
bonitos,jan-mar,0,-33.5,-20.5,41,5319032
bonitos,jan-mar,0,-26.5,-20.5,41,5321026
bonitos,jan-mar,0,3.5,-20.5,47,5220002
bonitos,jan-mar,0,58.5,-20.5,51,5221059
bonitos,jan-mar,0,91.5,-20.5,57,5221092
bonitos,jan-mar,0,97.5,-20.5,57,5219096
bonitos,jan-mar,0,103.5,-20.5,57,5221102
bonitos,jan-mar,0,108.5,-20.5,57,5221107
bonitos,jan-mar,0,113.5,-20.5,57,5221113
bonitos,jan-mar,0,114.5,-20.5,57,5221115
bonitos,jan-mar,0,153.5,-20.5,71,5221153
bonitos,jan-mar,0,154.5,-20.5,71,5221153
bonitos,jan-mar,0,155.5,-20.5,71,5221156
bonitos,jan-mar,0,156.5,-20.5,71,5221157
bonitos,jan-mar,0,-141.5,-19.5,77,5320140
bonitos,jan-mar,0,-108.5,-19.5,87,5320107
bonitos,jan-mar,0,-93.5,-19.5,87,5319092
bonitos,jan-mar,0,-92.5,-19.5,87,5319092
bonitos,jan-mar,0,-91.5,-19.5,87,5320090
bonitos,jan-mar,0,-35.5,-19.5,41,5320035
bonitos,jan-mar,0,-34.5,-19.5,41,5319033
bonitos,jan-mar,0,-26.5,-19.5,41,5320025
bonitos,jan-mar,0,-18.5,-19.5,47,5319017
bonitos,jan-mar,0,-10.5,-19.5,47,5319010
bonitos,jan-mar,0,7.5,-19.5,47,5220006
bonitos,jan-mar,0,57.5,-19.5,51,5220056
bonitos,jan-mar,0,88.5,-19.5,57,5220088
bonitos,jan-mar,0,97.5,-19.5,57,5219096
bonitos,jan-mar,0,100.5,-19.5,57,5220100
bonitos,jan-mar,0,101.5,-19.5,57,5220100
bonitos,jan-mar,0,112.5,-19.5,57,5220111
bonitos,jan-mar,0,113.5,-19.5,57,5220114
bonitos,jan-mar,0,114.5,-19.5,57,5220114
bonitos,jan-mar,0,115.5,-19.5,57,5220114
bonitos,jan-mar,0,116.5,-19.5,57,5220115
bonitos,jan-mar,0,117.5,-19.5,57,5220118
bonitos,jan-mar,0,118.5,-19.5,57,5220119
bonitos,jan-mar,0,157.5,-19.5,71,5220157
bonitos,jan-mar,0,159.5,-19.5,71,5220159
bonitos,jan-mar,0,176.5,-19.5,71,5220177
bonitos,jan-mar,0,-152.5,-18.5,77,5319153
bonitos,jan-mar,0,-106.5,-18.5,87,5319107
bonitos,jan-mar,0,-89.5,-18.5,87,5319090
bonitos,jan-mar,0,-34.5,-18.5,41,5319035
bonitos,jan-mar,0,-26.5,-18.5,41,5318026
bonitos,jan-mar,0,-18.5,-18.5,47,5319017
bonitos,jan-mar,0,-10.5,-18.5,47,5319010
bonitos,jan-mar,0,3.5,-18.5,47,5219003
bonitos,jan-mar,0,58.5,-18.5,51,5219059
bonitos,jan-mar,0,59.5,-18.5,51,5219059
bonitos,jan-mar,0,94.5,-18.5,57,5219095
bonitos,jan-mar,0,98.5,-18.5,57,5218099
