species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
little-tuna,oct-dec,0,-59.5,-49.5,41,5350060
little-tuna,oct-dec,0,-53.5,-49.5,41,5350054
little-tuna,oct-dec,0,-65.5,-48.5,41,5349065
little-tuna,oct-dec,0,-62.5,-48.5,41,5349063
little-tuna,oct-dec,0,-53.5,-48.5,41,5349054
little-tuna,oct-dec,0,-65.5,-47.5,41,5348066
little-tuna,oct-dec,0,-54.5,-47.5,41,5348053
little-tuna,oct-dec,0,-50.5,-47.5,41,5348051
little-tuna,oct-dec,0,-66.5,-46.5,41,5347066
little-tuna,oct-dec,0,-65.5,-45.5,41,5346064
little-tuna,oct-dec,0,-51.5,-45.5,41,5346050
little-tuna,oct-dec,0,-50.5,-45.5,41,5346050
little-tuna,oct-dec,0,-49.5,-45.5,41,5346050
little-tuna,oct-dec,0,-65.5,-44.5,41,5344066
little-tuna,oct-dec,0,-63.5,-43.5,41,5344062
little-tuna,oct-dec,0,-46.5,-43.5,41,5343045
little-tuna,oct-dec,0,92.5,-43.5,57,5244091
little-tuna,oct-dec,0,-62.5,-42.5,41,5343061
little-tuna,oct-dec,0,9.5,-41.5,47,5241010
little-tuna,oct-dec,0,18.5,-41.5,47,5242017
little-tuna,oct-dec,0,-46.5,-40.5,41,5341047
little-tuna,oct-dec,0,-44.5,-40.5,41,5341043
little-tuna,oct-dec,0,2.5,-40.5,47,5241001
little-tuna,oct-dec,0,11.5,-40.5,47,5240012
little-tuna,oct-dec,0,90.5,-40.5,57,5241089
little-tuna,oct-dec,0,91.5,-40.5,57,5240090
little-tuna,oct-dec,0,-109.5,-39.5,87,5340109
little-tuna,oct-dec,0,-108.5,-39.5,87,5340107
little-tuna,oct-dec,0,-105.5,-39.5,87,5340106
little-tuna,oct-dec,0,-90.5,-39.5,87,5340091
little-tuna,oct-dec,0,-88.5,-39.5,87,5338087
little-tuna,oct-dec,0,-49.5,-39.5,41,5338048
little-tuna,oct-dec,0,-48.5,-39.5,41,5339049
little-tuna,oct-dec,0,-44.5,-39.5,41,5340043
little-tuna,oct-dec,0,1.5,-39.5,47,5238002
little-tuna,oct-dec,0,3.5,-39.5,47,5239002
little-tuna,oct-dec,0,5.5,-39.5,47,5240006
little-tuna,oct-dec,0,12.5,-39.5,47,5239012
little-tuna,oct-dec,0,88.5,-39.5,57,5240089
little-tuna,oct-dec,0,89.5,-39.5,57,5240089
little-tuna,oct-dec,0,91.5,-39.5,57,5240090
little-tuna,oct-dec,0,92.5,-39.5,57,5240091
little-tuna,oct-dec,0,102.5,-39.5,57,5239102
little-tuna,oct-dec,0,-101.5,-38.5,87,5339100
little-tuna,oct-dec,0,-84.5,-38.5,87,5339083
little-tuna,oct-dec,0,-1.5,-38.5,47,5339001
little-tuna,oct-dec,0,5.5,-38.5,47,5238005
little-tuna,oct-dec,0,15.5,-38.5,47,5239015
little-tuna,oct-dec,0,23.5,-38.5,47,5239023
little-tuna,oct-dec,0,86.5,-38.5,57,5239087
little-tuna,oct-dec,0,87.5,-38.5,57,5239088
little-tuna,oct-dec,0,88.5,-38.5,57,5239088
little-tuna,oct-dec,0,89.5,-38.5,57,5239090
little-tuna,oct-dec,0,90.5,-38.5,57,5239091
little-tuna,oct-dec,0,101.5,-38.5,57,5239102
little-tuna,oct-dec,0,-114.5,-37.5,87,5338113
little-tuna,oct-dec,0,-101.5,-37.5,87,5338100
little-tuna,oct-dec,0,-80.5,-37.5,87,5338079
little-tuna,oct-dec,0,-51.5,-37.5,41,5338052
little-tuna,oct-dec,0,-44.5,-37.5,41,5338044
little-tuna,oct-dec,0,-4.5,-37.5,47,5337003
little-tuna,oct-dec,0,-3.5,-37.5,47,5338002
little-tuna,oct-dec,0,8.5,-37.5,47,5237007
little-tuna,oct-dec,0,9.5,-37.5,47,5236010
little-tuna,oct-dec,0,86.5,-37.5,57,5238087
little-tuna,oct-dec,0,87.5,-37.5,57,5238088
little-tuna,oct-dec,0,88.5,-37.5,57,5238088
little-tuna,oct-dec,0,155.5,-37.5,81,5238154
little-tuna,oct-dec,0,156.5,-37.5,81,5238157
little-tuna,oct-dec,0,-116.5,-36.5,87,5337115
little-tuna,oct-dec,0,-4.5,-36.5,47,5337005
little-tuna,oct-dec,0,11.5,-36.5,47,5237012
little-tuna,oct-dec,0,12.5,-36.5,47,5237012
little-tuna,oct-dec,0,17.5,-36.5,47,5237016
little-tuna,oct-dec,0,33.5,-36.5,51,5236032
little-tuna,oct-dec,0,86.5,-36.5,57,5237086
little-tuna,oct-dec,0,87.5,-36.5,57,5237087
little-tuna,oct-dec,0,89.5,-36.5,57,5236088
little-tuna,oct-dec,0,90.5,-36.5,57,5237091
