species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
sauries,jul-sept,0,152.5,-39.5,81,5240153
sauries,jul-sept,0,151.5,-38.5,81,5238151
sauries,jul-sept,0,152.5,-38.5,81,5239151
sauries,jul-sept,0,153.5,-38.5,81,5239153
sauries,jul-sept,0,154.5,-38.5,81,5239155
sauries,jul-sept,0,-167.5,-37.5,81,5338168
sauries,jul-sept,0,150.5,-37.5,57,5238150
sauries,jul-sept,0,151.5,-37.5,81,5238150
sauries,jul-sept,0,152.5,-37.5,81,5238153
sauries,jul-sept,0,153.5,-37.5,81,5238154
sauries,jul-sept,0,154.5,-37.5,81,5238153
sauries,jul-sept,0,178.5,-37.5,81,5238177
sauries,jul-sept,0,179.5,-37.5,81,5238178
sauries,jul-sept,0,-168.5,-36.5,81,5337168
sauries,jul-sept,0,95.5,-36.5,57,5237094
sauries,jul-sept,0,96.5,-36.5,57,5237095
sauries,jul-sept,0,150.5,-36.5,81,5237151
sauries,jul-sept,0,151.5,-36.5,81,5237150
sauries,jul-sept,0,152.5,-36.5,81,5237153
sauries,jul-sept,0,153.5,-36.5,81,5237154
sauries,jul-sept,0,154.5,-36.5,81,5235155
sauries,jul-sept,0,155.5,-36.5,81,5236156
sauries,jul-sept,0,176.5,-36.5,81,5237175
sauries,jul-sept,0,177.5,-36.5,81,5237176
sauries,jul-sept,0,179.5,-36.5,81,5337179
sauries,jul-sept,0,-179.5,-35.5,81,5336179
sauries,jul-sept,0,153.5,-35.5,81,5236154
sauries,jul-sept,0,175.5,-35.5,81,5236175
sauries,jul-sept,0,176.5,-35.5,81,5236177
sauries,jul-sept,0,177.5,-35.5,81,5235177
sauries,jul-sept,0,178.5,-35.5,81,5236178
sauries,jul-sept,0,179.5,-35.5,81,5336179
sauries,jul-sept,0,-179.5,-34.5,81,5235179
sauries,jul-sept,0,166.5,-34.5,81,5235165
sauries,jul-sept,0,176.5,-34.5,81,5235176
sauries,jul-sept,0,177.5,-34.5,81,5235178
sauries,jul-sept,0,-162.5,-33.5,81,5334163
sauries,jul-sept,0,-172.5,-32.5,81,5333172
sauries,jul-sept,0,-171.5,-32.5,81,5333172
sauries,jul-sept,0,14.5,-32.5,47,5233015
sauries,jul-sept,0,153.5,-32.5,81,5232152
sauries,jul-sept,0,156.5,-32.5,81,5231157
sauries,jul-sept,0,157.5,-32.5,81,5231157
sauries,jul-sept,0,-171.5,-31.5,81,5332171
sauries,jul-sept,0,157.5,-31.5,81,5231157
sauries,jul-sept,0,161.5,-31.5,81,5232161
sauries,jul-sept,0,153.5,-30.5,81,5231152
sauries,jul-sept,0,158.5,-30.5,81,5231157
sauries,jul-sept,4,160.5,-30.5,81,5231161
sauries,jul-sept,4,161.5,-30.5,81,5231161
sauries,jul-sept,4,-169.5,-29.5,81,5330170
sauries,jul-sept,4,-168.5,-29.5,81,5330167
sauries,jul-sept,3,154.5,-29.5,81,5230155
sauries,jul-sept,0,156.5,-29.5,81,5230157
sauries,jul-sept,0,160.5,-29.5,81,5230159
sauries,jul-sept,0,161.5,-29.5,81,5230162
sauries,jul-sept,0,163.5,-29.5,81,5229164
sauries,jul-sept,0,168.5,-29.5,81,5230168
sauries,jul-sept,0,-174.5,-28.5,81,5328175
sauries,jul-sept,4,-170.5,-28.5,81,5329169
sauries,jul-sept,4,-169.5,-28.5,81,5329168
sauries,jul-sept,3,-152.5,-28.5,81,5329153
sauries,jul-sept,2,-151.5,-28.5,81,5329151
sauries,jul-sept,4,154.5,-28.5,81,5227153
sauries,jul-sept,0,158.5,-28.5,81,5228157
sauries,jul-sept,4,159.5,-28.5,81,5228158
sauries,jul-sept,3,160.5,-28.5,81,5229160
sauries,jul-sept,0,161.5,-28.5,81,5229160
sauries,jul-sept,0,162.5,-28.5,81,5227163
sauries,jul-sept,0,163.5,-28.5,81,5229164
sauries,jul-sept,0,164.5,-28.5,81,5229164
sauries,jul-sept,0,165.5,-28.5,81,5229164
sauries,jul-sept,0,166.5,-28.5,81,5229166
sauries,jul-sept,0,168.5,-28.5,81,5229169
sauries,jul-sept,0,-178.5,-27.5,81,5327177
sauries,jul-sept,0,-176.5,-27.5,81,5328176
sauries,jul-sept,0,-175.5,-27.5,81,5328176
sauries,jul-sept,0,-174.5,-27.5,81,5328175
sauries,jul-sept,4,-154.5,-27.5,81,5328154
sauries,jul-sept,0,-150.5,-27.5,81,5328149
sauries,jul-sept,0,153.5,-27.5,71,5228154
sauries,jul-sept,3,154.5,-27.5,81,5228154
sauries,jul-sept,0,155.5,-27.5,81,5228156
sauries,jul-sept,0,157.5,-27.5,81,5228157
sauries,jul-sept,4,158.5,-27.5,81,5227159
sauries,jul-sept,4,159.5,-27.5,81,5227159
sauries,jul-sept,0,160.5,-27.5,81,5228160
sauries,jul-sept,0,161.5,-27.5,81,5228162
sauries,jul-sept,1,162.5,-27.5,81,5227163
sauries,jul-sept,0,163.5,-27.5,81,5227163
sauries,jul-sept,2,165.5,-27.5,81,5228164
sauries,jul-sept,4,166.5,-27.5,81,5226167
sauries,jul-sept,0,167.5,-27.5,81,5227168
sauries,jul-sept,0,168.5,-27.5,81,5228167
sauries,jul-sept,0,169.5,-27.5,81,5228170
sauries,jul-sept,0,176.5,-27.5,81,5228177
sauries,jul-sept,0,-179.5,-26.5,81,5327179
sauries,jul-sept,0,-178.5,-26.5,81,5327179
sauries,jul-sept,0,-176.5,-26.5,81,5327177
sauries,jul-sept,1,-175.5,-26.5,81,5327174
sauries,jul-sept,0,-174.5,-26.5,81,5327174
sauries,jul-sept,0,-173.5,-26.5,81,5327174
sauries,jul-sept,0,6.5,-26.5,47,5227006
sauries,jul-sept,0,7.5,-26.5,47,5227006
sauries,jul-sept,0,111.5,-26.5,57,5225110
sauries,jul-sept,0,112.5,-26.5,57,5227112
sauries,jul-sept,0,153.5,-26.5,71,5227154
sauries,jul-sept,0,154.5,-26.5,81,5227154
sauries,jul-sept,0,155.5,-26.5,81,5227154
sauries,jul-sept,0,156.5,-26.5,81,5227156
sauries,jul-sept,0,157.5,-26.5,81,5227156
sauries,jul-sept,3,158.5,-26.5,81,5227159
sauries,jul-sept,2,159.5,-26.5,81,5227160
sauries,jul-sept,3,160.5,-26.5,81,5227159
sauries,jul-sept,3,161.5,-26.5,81,5227162
sauries,jul-sept,0,162.5,-26.5,81,5227163
sauries,jul-sept,0,163.5,-26.5,81,5227163
sauries,jul-sept,3,165.5,-26.5,81,5227164
sauries,jul-sept,4,166.5,-26.5,81,5226167
sauries,jul-sept,0,167.5,-26.5,81,5227168
sauries,jul-sept,0,168.5,-26.5,81,5227167
sauries,jul-sept,0,169.5,-26.5,81,5227169
sauries,jul-sept,0,175.5,-26.5,81,5227174
sauries,jul-sept,0,176.5,-26.5,81,5227176
sauries,jul-sept,0,-177.5,-25.5,81,5326176
sauries,jul-sept,0,62.5,-25.5,51,5224062
sauries,jul-sept,0,110.5,-25.5,57,5224110
sauries,jul-sept,0,111.5,-25.5,57,5224110
sauries,jul-sept,0,112.5,-25.5,57,5226113
sauries,jul-sept,0,153.5,-25.5,71,5226153
sauries,jul-sept,2,154.5,-25.5,81,5226155
sauries,jul-sept,0,155.5,-25.5,81,5226156
sauries,jul-sept,1,156.5,-25.5,81,5226156
sauries,jul-sept,0,157.5,-25.5,81,5226156
sauries,jul-sept,2,158.5,-25.5,81,5226159
sauries,jul-sept,2,159.5,-25.5,81,5226159
sauries,jul-sept,0,160.5,-25.5,81,5226161
sauries,jul-sept,1,161.5,-25.5,81,5226162
sauries,jul-sept,0,162.5,-25.5,81,5226162
sauries,jul-sept,0,163.5,-25.5,81,5226162
sauries,jul-sept,0,164.5,-25.5,81,5226165
sauries,jul-sept,0,167.5,-25.5,81,5224167
sauries,jul-sept,0,168.5,-25.5,81,5226168
sauries,jul-sept,1,169.5,-25.5,81,5226168
sauries,jul-sept,0,174.5,-25.5,81,5226174
sauries,jul-sept,0,175.5,-25.5,81,5226174
sauries,jul-sept,0,176.5,-25.5,81,5226176
sauries,jul-sept,0,-177.5,-24.5,81,5325176
sauries,jul-sept,0,111.5,-24.5,57,5224110
sauries,jul-sept,0,112.5,-24.5,57,5225111
sauries,jul-sept,0,153.5,-24.5,71,5225152
sauries,jul-sept,0,154.5,-24.5,81,5225153
sauries,jul-sept,2,155.5,-24.5,81,5225154
sauries,jul-sept,0,156.5,-24.5,81,5225155
sauries,jul-sept,0,157.5,-24.5,81,5225157
sauries,jul-sept,1,158.5,-24.5,81,5225157
sauries,jul-sept,0,159.5,-24.5,81,5225158
sauries,jul-sept,0,160.5,-24.5,81,5224161
sauries,jul-sept,3,161.5,-24.5,81,5224161
sauries,jul-sept,0,163.5,-24.5,81,5224162
sauries,jul-sept,0,168.5,-24.5,81,5225169
sauries,jul-sept,0,169.5,-24.5,81,5225169
sauries,jul-sept,0,170.5,-24.5,81,5225171
sauries,jul-sept,0,174.5,-24.5,81,5224173
sauries,jul-sept,0,175.5,-24.5,81,5225175
sauries,jul-sept,0,-177.5,-23.5,71,5323178
sauries,jul-sept,0,111.5,-23.5,57,5224111
sauries,jul-sept,0,112.5,-23.5,57,5224111
sauries,jul-sept,0,113.5,-23.5,57,5224113
sauries,jul-sept,0,153.5,-23.5,71,5224154
sauries,jul-sept,0,154.5,-23.5,71,5224154
sauries,jul-sept,0,155.5,-23.5,71,5222155
sauries,jul-sept,0,157.5,-23.5,71,5224156
sauries,jul-sept,0,158.5,-23.5,71,5224157
sauries,jul-sept,0,161.5,-23.5,71,5224161
sauries,jul-sept,0,167.5,-23.5,71,5224166
sauries,jul-sept,0,168.5,-23.5,71,5224169
sauries,jul-sept,0,169.5,-23.5,71,5224169
sauries,jul-sept,0,170.5,-23.5,71,5224171
sauries,jul-sept,0,111.5,-22.5,57,5223112
sauries,jul-sept,0,112.5,-22.5,57,5223112
sauries,jul-sept,0,113.5,-22.5,57,5223114
sauries,jul-sept,0,153.5,-22.5,71,5223152
sauries,jul-sept,0,154.5,-22.5,71,5223153
sauries,jul-sept,0,156.5,-22.5,71,5222155
sauries,jul-sept,0,158.5,-22.5,71,5223157
sauries,jul-sept,0,159.5,-22.5,71,5223158
sauries,jul-sept,0,160.5,-22.5,71,5223160
sauries,jul-sept,0,161.5,-22.5,71,5223160
sauries,jul-sept,0,170.5,-22.5,71,5223171
sauries,jul-sept,0,171.5,-22.5,71,5223170
sauries,jul-sept,0,172.5,-22.5,71,5223172
sauries,jul-sept,0,-177.5,-21.5,71,5320177
sauries,jul-sept,0,111.5,-21.5,57,5222111
sauries,jul-sept,0,112.5,-21.5,57,5222111
sauries,jul-sept,0,113.5,-21.5,57,5222113
sauries,jul-sept,0,114.5,-21.5,57,5222115
sauries,jul-sept,0,155.5,-21.5,71,5222155
sauries,jul-sept,0,156.5,-21.5,71,5222155
sauries,jul-sept,0,161.5,-21.5,71,5222161
sauries,jul-sept,0,164.5,-21.5,71,5222165
sauries,jul-sept,0,-177.5,-20.5,71,5321176
sauries,jul-sept,0,113.5,-20.5,57,5221113
sauries,jul-sept,0,114.5,-20.5,57,5221115
sauries,jul-sept,0,153.5,-20.5,71,5221153
sauries,jul-sept,0,155.5,-20.5,71,5221156
sauries,jul-sept,0,156.5,-20.5,71,5221157
sauries,jul-sept,0,157.5,-20.5,71,5221157
sauries,jul-sept,0,169.5,-20.5,71,5221170
sauries,jul-sept,0,-177.5,-19.5,71,5320177
sauries,jul-sept,0,-176.5,-19.5,71,5320177
sauries,jul-sept,0,113.5,-19.5,57,5220114
sauries,jul-sept,0,114.5,-19.5,57,5220114
sauries,jul-sept,0,115.5,-19.5,57,5220114
sauries,jul-sept,0,155.5,-19.5,71,5220156
sauries,jul-sept,0,156.5,-19.5,71,5220157
sauries,jul-sept,0,157.5,-19.5,71,5220157
sauries,jul-sept,0,-178.5,-18.5,71,5319177
sauries,jul-sept,0,-177.5,-18.5,71,5319177
sauries,jul-sept,0,-176.5,-18.5,71,5319177
sauries,jul-sept,0,-175.5,-18.5,77,5319175
sauries,jul-sept,0,-149.5,-18.5,77,5318148
sauries,jul-sept,0,-148.5,-18.5,77,5319147
sauries,jul-sept,0,86.5,-18.5,57,5219085
sauries,jul-sept,0,91.5,-18.5,57,5219090
