species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
shortbill-spearfish,oct-dec,0,-59.5,-49.5,41,5350060
shortbill-spearfish,oct-dec,0,-53.5,-49.5,41,5350054
shortbill-spearfish,oct-dec,0,-65.5,-48.5,41,5349065
shortbill-spearfish,oct-dec,0,-62.5,-48.5,41,5349063
shortbill-spearfish,oct-dec,0,-53.5,-48.5,41,5349054
shortbill-spearfish,oct-dec,0,-65.5,-47.5,41,5348066
shortbill-spearfish,oct-dec,0,-54.5,-47.5,41,5348053
shortbill-spearfish,oct-dec,0,-50.5,-47.5,41,5348051
shortbill-spearfish,oct-dec,0,-66.5,-46.5,41,5347066
shortbill-spearfish,oct-dec,0,-65.5,-45.5,41,5346064
shortbill-spearfish,oct-dec,0,-51.5,-45.5,41,5346050
shortbill-spearfish,oct-dec,0,-50.5,-45.5,41,5346050
shortbill-spearfish,oct-dec,0,-49.5,-45.5,41,5346050
shortbill-spearfish,oct-dec,0,-65.5,-44.5,41,5344066
shortbill-spearfish,oct-dec,0,-63.5,-43.5,41,5344062
shortbill-spearfish,oct-dec,0,-46.5,-43.5,41,5343045
shortbill-spearfish,oct-dec,0,92.5,-43.5,57,5244091
shortbill-spearfish,oct-dec,0,-62.5,-42.5,41,5343061
shortbill-spearfish,oct-dec,0,9.5,-41.5,47,5241010
shortbill-spearfish,oct-dec,0,18.5,-41.5,47,5242017
shortbill-spearfish,oct-dec,0,-46.5,-40.5,41,5341047
shortbill-spearfish,oct-dec,0,-44.5,-40.5,41,5341043
shortbill-spearfish,oct-dec,0,2.5,-40.5,47,5241001
shortbill-spearfish,oct-dec,0,11.5,-40.5,47,5240012
shortbill-spearfish,oct-dec,0,90.5,-40.5,57,5241089
shortbill-spearfish,oct-dec,0,91.5,-40.5,57,5240090
shortbill-spearfish,oct-dec,0,-109.5,-39.5,87,5340109
shortbill-spearfish,oct-dec,0,-108.5,-39.5,87,5340107
shortbill-spearfish,oct-dec,0,-105.5,-39.5,87,5340106
shortbill-spearfish,oct-dec,0,-90.5,-39.5,87,5340091
shortbill-spearfish,oct-dec,0,-88.5,-39.5,87,5338087
shortbill-spearfish,oct-dec,0,-49.5,-39.5,41,5338048
shortbill-spearfish,oct-dec,0,-48.5,-39.5,41,5339049
shortbill-spearfish,oct-dec,0,-44.5,-39.5,41,5340043
shortbill-spearfish,oct-dec,0,1.5,-39.5,47,5238002
shortbill-spearfish,oct-dec,0,3.5,-39.5,47,5239002
shortbill-spearfish,oct-dec,0,5.5,-39.5,47,5240006
shortbill-spearfish,oct-dec,0,12.5,-39.5,47,5239012
shortbill-spearfish,oct-dec,0,88.5,-39.5,57,5240089
shortbill-spearfish,oct-dec,0,89.5,-39.5,57,5240089
shortbill-spearfish,oct-dec,0,91.5,-39.5,57,5240090
shortbill-spearfish,oct-dec,0,92.5,-39.5,57,5240091
shortbill-spearfish,oct-dec,0,102.5,-39.5,57,5239102
shortbill-spearfish,oct-dec,0,-101.5,-38.5,87,5339100
shortbill-spearfish,oct-dec,0,-84.5,-38.5,87,5339083
shortbill-spearfish,oct-dec,0,-1.5,-38.5,47,5339001
shortbill-spearfish,oct-dec,0,5.5,-38.5,47,5238005
shortbill-spearfish,oct-dec,0,15.5,-38.5,47,5239015
shortbill-spearfish,oct-dec,0,23.5,-38.5,47,5239023
shortbill-spearfish,oct-dec,0,86.5,-38.5,57,5239087
shortbill-spearfish,oct-dec,0,87.5,-38.5,57,5239088
shortbill-spearfish,oct-dec,0,88.5,-38.5,57,5239088
shortbill-spearfish,oct-dec,0,89.5,-38.5,57,5239090
shortbill-spearfish,oct-dec,0,90.5,-38.5,57,5239091
shortbill-spearfish,oct-dec,0,101.5,-38.5,57,5239102
shortbill-spearfish,oct-dec,0,-114.5,-37.5,87,5338113
shortbill-spearfish,oct-dec,0,-101.5,-37.5,87,5338100
shortbill-spearfish,oct-dec,0,-80.5,-37.5,87,5338079
shortbill-spearfish,oct-dec,0,-51.5,-37.5,41,5338052
shortbill-spearfish,oct-dec,0,-44.5,-37.5,41,5338044
shortbill-spearfish,oct-dec,0,-4.5,-37.5,47,5337003
shortbill-spearfish,oct-dec,0,-3.5,-37.5,47,5338002
shortbill-spearfish,oct-dec,0,8.5,-37.5,47,5237007
shortbill-spearfish,oct-dec,0,9.5,-37.5,47,5236010
shortbill-spearfish,oct-dec,0,86.5,-37.5,57,5238087
shortbill-spearfish,oct-dec,0,87.5,-37.5,57,5238088
shortbill-spearfish,oct-dec,0,88.5,-37.5,57,5238088
shortbill-spearfish,oct-dec,0,155.5,-37.5,81,5238154
shortbill-spearfish,oct-dec,0,156.5,-37.5,81,5238157
shortbill-spearfish,oct-dec,0,-116.5,-36.5,87,5337115
shortbill-spearfish,oct-dec,0,-4.5,-36.5,47,5337005
shortbill-spearfish,oct-dec,0,11.5,-36.5,47,5237012
shortbill-spearfish,oct-dec,0,12.5,-36.5,47,5237012
shortbill-spearfish,oct-dec,0,17.5,-36.5,47,5237016
shortbill-spearfish,oct-dec,0,33.5,-36.5,51,5236032
shortbill-spearfish,oct-dec,0,86.5,-36.5,57,5237086
shortbill-spearfish,oct-dec,0,87.5,-36.5,57,5237087
shortbill-spearfish,oct-dec,0,89.5,-36.5,57,5236088
shortbill-spearfish,oct-dec,0,90.5,-36.5,57,5237091
shortbill-spearfish,oct-dec,0,91.5,-36.5,57,5236091
shortbill-spearfish,oct-dec,0,96.5,-36.5,57,5237095
shortbill-spearfish,oct-dec,0,97.5,-36.5,57,5237097
shortbill-spearfish,oct-dec,0,98.5,-36.5,57,5237097
shortbill-spearfish,oct-dec,0,157.5,-36.5,81,5237158
shortbill-spearfish,oct-dec,0,-118.5,-35.5,87,5336117
shortbill-spearfish,oct-dec,0,-94.5,-35.5,87,5336093
shortbill-spearfish,oct-dec,0,-44.5,-35.5,41,5335045
shortbill-spearfish,oct-dec,0,-6.5,-35.5,47,5335007
shortbill-spearfish,oct-dec,0,14.5,-35.5,47,5236013
shortbill-spearfish,oct-dec,0,15.5,-35.5,47,5236015
shortbill-spearfish,oct-dec,0,83.5,-35.5,57,5236083
shortbill-spearfish,oct-dec,0,84.5,-35.5,57,5236083
shortbill-spearfish,oct-dec,0,86.5,-35.5,57,5236086
shortbill-spearfish,oct-dec,0,89.5,-35.5,57,5234090
shortbill-spearfish,oct-dec,0,152.5,-35.5,81,5236151
shortbill-spearfish,oct-dec,0,153.5,-35.5,81,5236154
shortbill-spearfish,oct-dec,0,156.5,-35.5,81,5236156
shortbill-spearfish,oct-dec,0,157.5,-35.5,81,5236156
shortbill-spearfish,oct-dec,0,-101.5,-34.5,87,5334101
shortbill-spearfish,oct-dec,0,-99.5,-34.5,87,5335099
shortbill-spearfish,oct-dec,0,-44.5,-34.5,41,5333043
shortbill-spearfish,oct-dec,0,-41.5,-34.5,41,5333040
shortbill-spearfish,oct-dec,0,-40.5,-34.5,41,5333039
shortbill-spearfish,oct-dec,0,-39.5,-34.5,41,5333038
shortbill-spearfish,oct-dec,0,-10.5,-34.5,47,5335011
shortbill-spearfish,oct-dec,0,-8.5,-34.5,47,5335008
shortbill-spearfish,oct-dec,0,8.5,-34.5,47,5234009
shortbill-spearfish,oct-dec,0,17.5,-34.5,47,5235017
shortbill-spearfish,oct-dec,0,18.5,-34.5,47,5235019
shortbill-spearfish,oct-dec,0,22.5,-34.5,47,5234022
shortbill-spearfish,oct-dec,0,23.5,-34.5,47,5234022
shortbill-spearfish,oct-dec,0,32.5,-34.5,51,5235033
shortbill-spearfish,oct-dec,0,85.5,-34.5,57,5235084
shortbill-spearfish,oct-dec,0,87.5,-34.5,57,5235088
shortbill-spearfish,oct-dec,0,94.5,-34.5,57,5235094
shortbill-spearfish,oct-dec,0,152.5,-34.5,81,5235151
shortbill-spearfish,oct-dec,0,153.5,-34.5,81,5235152
shortbill-spearfish,oct-dec,0,158.5,-34.5,81,5235157
shortbill-spearfish,oct-dec,0,159.5,-34.5,81,5235158
shortbill-spearfish,oct-dec,0,161.5,-34.5,81,5235160
shortbill-spearfish,oct-dec,0,-161.5,-33.5,81,5334160
shortbill-spearfish,oct-dec,0,-156.5,-33.5,81,5333156
shortbill-spearfish,oct-dec,0,-122.5,-33.5,81,5334123
shortbill-spearfish,oct-dec,0,-94.5,-33.5,87,5332093
shortbill-spearfish,oct-dec,0,-92.5,-33.5,87,5334091
shortbill-spearfish,oct-dec,0,-81.5,-33.5,87,5334081
shortbill-spearfish,oct-dec,0,-80.5,-33.5,87,5334081
shortbill-spearfish,oct-dec,0,-75.5,-33.5,87,5334076
shortbill-spearfish,oct-dec,0,-72.5,-33.5,87,5334073
shortbill-spearfish,oct-dec,0,-44.5,-33.5,41,5334043
shortbill-spearfish,oct-dec,0,-40.5,-33.5,41,5333039
shortbill-spearfish,oct-dec,0,-12.5,-33.5,47,5334013
shortbill-spearfish,oct-dec,0,7.5,-33.5,47,5234008
