species,season,abundance,longitude,latitude
southern-bluefin-tuna,oct-dec,0,-59.5,-49.5
southern-bluefin-tuna,oct-dec,0,-53.5,-49.5
southern-bluefin-tuna,oct-dec,0,-65.5,-48.5
southern-bluefin-tuna,oct-dec,0,-62.5,-48.5
southern-bluefin-tuna,oct-dec,0,-53.5,-48.5
southern-bluefin-tuna,oct-dec,0,-65.5,-47.5
southern-bluefin-tuna,oct-dec,0,-54.5,-47.5
southern-bluefin-tuna,oct-dec,0,-50.5,-47.5
southern-bluefin-tuna,oct-dec,0,-66.5,-46.5
southern-bluefin-tuna,oct-dec,0,-65.5,-45.5
southern-bluefin-tuna,oct-dec,0,-51.5,-45.5
southern-bluefin-tuna,oct-dec,0,-50.5,-45.5
southern-bluefin-tuna,oct-dec,0,-49.5,-45.5
southern-bluefin-tuna,oct-dec,0,-65.5,-44.5
southern-bluefin-tuna,oct-dec,0,-63.5,-43.5
southern-bluefin-tuna,oct-dec,0,-46.5,-43.5
southern-bluefin-tuna,oct-dec,0,92.5,-43.5
southern-bluefin-tuna,oct-dec,0,-62.5,-42.5
southern-bluefin-tuna,oct-dec,0,9.5,-41.5
southern-bluefin-tuna,oct-dec,0,18.5,-41.5
southern-bluefin-tuna,oct-dec,0,-46.5,-40.5
southern-bluefin-tuna,oct-dec,0,-44.5,-40.5
southern-bluefin-tuna,oct-dec,0,2.5,-40.5
southern-bluefin-tuna,oct-dec,0,11.5,-40.5
southern-bluefin-tuna,oct-dec,0,90.5,-40.5
southern-bluefin-tuna,oct-dec,0,91.5,-40.5
southern-bluefin-tuna,oct-dec,0,-109.5,-39.5
southern-bluefin-tuna,oct-dec,0,-108.5,-39.5
southern-bluefin-tuna,oct-dec,0,-105.5,-39.5
southern-bluefin-tuna,oct-dec,0,-90.5,-39.5
southern-bluefin-tuna,oct-dec,0,-88.5,-39.5
southern-bluefin-tuna,oct-dec,0,-49.5,-39.5
southern-bluefin-tuna,oct-dec,0,-48.5,-39.5
southern-bluefin-tuna,oct-dec,0,-44.5,-39.5
southern-bluefin-tuna,oct-dec,0,1.5,-39.5
southern-bluefin-tuna,oct-dec,0,3.5,-39.5
southern-bluefin-tuna,oct-dec,0,5.5,-39.5
southern-bluefin-tuna,oct-dec,0,12.5,-39.5
southern-bluefin-tuna,oct-dec,0,88.5,-39.5
southern-bluefin-tuna,oct-dec,0,89.5,-39.5
southern-bluefin-tuna,oct-dec,0,91.5,-39.5
southern-bluefin-tuna,oct-dec,0,92.5,-39.5
southern-bluefin-tuna,oct-dec,0,102.5,-39.5
southern-bluefin-tuna,oct-dec,0,-101.5,-38.5
southern-bluefin-tuna,oct-dec,0,-84.5,-38.5
southern-bluefin-tuna,oct-dec,0,-1.5,-38.5
southern-bluefin-tuna,oct-dec,0,5.5,-38.5
southern-bluefin-tuna,oct-dec,0,15.5,-38.5
southern-bluefin-tuna,oct-dec,0,23.5,-38.5
southern-bluefin-tuna,oct-dec,0,86.5,-38.5
southern-bluefin-tuna,oct-dec,0,87.5,-38.5
southern-bluefin-tuna,oct-dec,0,88.5,-38.5
