category,season,effort,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
tows,apr-jun,0,148.5,-44.5,57,5245147
tows,apr-jun,0,150.5,-43.5,57,5242150
tows,apr-jun,1,148.5,-42.5,57,5243147
tows,apr-jun,1,149.5,-42.5,57,5242150
tows,apr-jun,0,47.5,-41.5,51,5241048
tows,apr-jun,0,48.5,-41.5,51,5241048
tows,apr-jun,0,53.5,-41.5,51,5242052
tows,apr-jun,0,148.5,-41.5,57,5242147
tows,apr-jun,0,150.5,-41.5,57,5242150
tows,apr-jun,0,152.5,-39.5,81,5240153
tows,apr-jun,1,-178.5,-38.5,81,5339178
tows,apr-jun,0,149.5,-38.5,57,5239148
tows,apr-jun,1,150.5,-38.5,57,5239149
tows,apr-jun,1,-178.5,-37.5,81,5338178
tows,apr-jun,2,150.5,-37.5,57,5238150
tows,apr-jun,0,151.5,-37.5,81,5238150
tows,apr-jun,0,152.5,-37.5,81,5238153
tows,apr-jun,0,179.5,-37.5,81,5238178
tows,apr-jun,1,150.5,-36.5,81,5237151
tows,apr-jun,1,151.5,-36.5,81,5237150
tows,apr-jun,0,40.5,-35.5,51,5235039
tows,apr-jun,1,151.5,-35.5,81,5236150
tows,apr-jun,1,43.5,-34.5,51,5233043
tows,apr-jun,0,44.5,-34.5,51,5235045
tows,apr-jun,0,155.5,-34.5,81,5233156
tows,apr-jun,0,44.5,-33.5,51,5232045
tows,apr-jun,1,156.5,-33.5,81,5234156
tows,apr-jun,0,158.5,-33.5,81,5234159
tows,apr-jun,0,155.5,-32.5,81,5233154
tows,apr-jun,1,170.5,-32.5,81,5233171
tows,apr-jun,0,157.5,-31.5,81,5231157
tows,apr-jun,1,169.5,-31.5,81,5230170
tows,apr-jun,1,170.5,-31.5,81,5231170
tows,apr-jun,0,11.5,-30.5,47,5230010
tows,apr-jun,0,40.5,-30.5,51,5231041
tows,apr-jun,0,153.5,-30.5,81,5231152
tows,apr-jun,0,169.5,-30.5,81,5230170
tows,apr-jun,0,170.5,-30.5,81,5230171
tows,apr-jun,0,13.5,-29.5,47,5230012
tows,apr-jun,1,168.5,-29.5,81,5230168
tows,apr-jun,2,169.5,-29.5,81,5229169
tows,apr-jun,0,171.5,-29.5,81,5230171
tows,apr-jun,1,105.5,-28.5,57,5229106
tows,apr-jun,0,106.5,-28.5,57,5229106
tows,apr-jun,1,154.5,-28.5,81,5227153
tows,apr-jun,0,12.5,-27.5,47,5227012
tows,apr-jun,0,154.5,-27.5,81,5228154
tows,apr-jun,0,12.5,-26.5,47,5227012
tows,apr-jun,0,-164.5,-25.5,81,5326163
tows,apr-jun,0,73.5,-25.5,51,5226072
tows,apr-jun,0,74.5,-25.5,51,5226075
tows,apr-jun,2,-164.5,-24.5,81,5325163
tows,apr-jun,1,-163.5,-24.5,81,5325162
tows,apr-jun,0,73.5,-24.5,51,5225072
tows,apr-jun,0,154.5,-23.5,71,5224154
tows,apr-jun,0,104.5,-19.5,57,5220105
tows,apr-jun,1,115.5,-19.5,57,5220114
tows,apr-jun,0,116.5,-19.5,57,5220115
tows,apr-jun,0,120.5,-19.5,57,5220120
tows,apr-jun,0,114.5,-18.5,57,5219113
tows,apr-jun,1,115.5,-18.5,57,5219114
tows,apr-jun,0,-154.5,-17.5,77,5318153
tows,apr-jun,0,-152.5,-17.5,77,5318151
tows,apr-jun,0,117.5,-17.5,57,5218118
tows,apr-jun,0,118.5,-17.5,57,5218117
tows,apr-jun,0,-156.5,-16.5,77,5317155
tows,apr-jun,1,-154.5,-16.5,77,5317153
tows,apr-jun,2,-152.5,-16.5,77,5317151
tows,apr-jun,0,104.5,-16.5,57,5216103
tows,apr-jun,1,115.5,-16.5,57,5215116
tows,apr-jun,2,116.5,-16.5,57,5217116
tows,apr-jun,2,117.5,-16.5,57,5217118
tows,apr-jun,1,118.5,-16.5,57,5217118
tows,apr-jun,0,-155.5,-15.5,77,5314156
tows,apr-jun,0,-153.5,-15.5,77,5316153
tows,apr-jun,1,114.5,-15.5,57,5216115
tows,apr-jun,1,116.5,-15.5,57,5216117
tows,apr-jun,2,117.5,-15.5,57,5216118
tows,apr-jun,0,118.5,-15.5,57,5215117
tows,apr-jun,0,120.5,-15.5,57,5216121
tows,apr-jun,0,-178.5,-14.5,71,5315178
tows,apr-jun,0,86.5,-14.5,57,5215085
tows,apr-jun,0,87.5,-14.5,57,5215087
tows,apr-jun,0,110.5,-14.5,57,5214110
tows,apr-jun,0,112.5,-14.5,57,5213111
tows,apr-jun,1,113.5,-14.5,57,5215112
tows,apr-jun,2,114.5,-14.5,57,5215114
tows,apr-jun,1,115.5,-14.5,57,5215115
tows,apr-jun,2,116.5,-14.5,57,5215116
tows,apr-jun,1,117.5,-14.5,57,5215116
tows,apr-jun,0,118.5,-14.5,57,5215119
tows,apr-jun,0,119.5,-14.5,57,5215119
tows,apr-jun,1,120.5,-14.5,57,5215121
tows,apr-jun,0,121.5,-14.5,57,5215122
tows,apr-jun,0,160.5,-14.5,71,5215159
tows,apr-jun,0,108.5,-13.5,57,5214107
tows,apr-jun,1,109.5,-13.5,57,5214110
tows,apr-jun,1,110.5,-13.5,57,5214110
tows,apr-jun,0,111.5,-13.5,57,5214110
tows,apr-jun,1,112.5,-13.5,57,5213111
tows,apr-jun,2,113.5,-13.5,57,5214112
tows,apr-jun,3,114.5,-13.5,57,5214113
tows,apr-jun,3,115.5,-13.5,57,5214114
tows,apr-jun,3,116.5,-13.5,57,5214115
tows,apr-jun,3,117.5,-13.5,57,5214118
tows,apr-jun,1,118.5,-13.5,57,5213119
tows,apr-jun,1,119.5,-13.5,57,5214120
tows,apr-jun,2,120.5,-13.5,57,5214119
tows,apr-jun,1,121.5,-13.5,57,5214122
tows,apr-jun,0,149.5,-13.5,71,5214150
tows,apr-jun,0,150.5,-13.5,71,5214150
tows,apr-jun,0,153.5,-13.5,71,5214154
tows,apr-jun,0,154.5,-13.5,71,5214154
tows,apr-jun,0,163.5,-13.5,71,5214162
tows,apr-jun,0,-165.5,-12.5,77,5313165
tows,apr-jun,0,-155.5,-12.5,77,5312156
tows,apr-jun,2,-135.5,-12.5,77,5313135
tows,apr-jun,1,-134.5,-12.5,77,5311133
tows,apr-jun,2,-98.5,-12.5,87,5313098
tows,apr-jun,0,-97.5,-12.5,87,5313098
tows,apr-jun,0,63.5,-12.5,51,5213064
tows,apr-jun,0,92.5,-12.5,57,5213092
tows,apr-jun,0,100.5,-12.5,57,5211099
tows,apr-jun,0,104.5,-12.5,57,5213103
tows,apr-jun,2,105.5,-12.5,57,5212104
tows,apr-jun,0,107.5,-12.5,57,5213108
tows,apr-jun,2,108.5,-12.5,57,5213109
tows,apr-jun,3,109.5,-12.5,57,5213109
tows,apr-jun,2,110.5,-12.5,57,5213109
tows,apr-jun,2,111.5,-12.5,57,5213112
tows,apr-jun,3,112.5,-12.5,57,5213113
tows,apr-jun,3,113.5,-12.5,57,5213113
tows,apr-jun,3,114.5,-12.5,57,5213115
tows,apr-jun,4,115.5,-12.5,57,5213115
tows,apr-jun,4,116.5,-12.5,57,5213115
tows,apr-jun,2,117.5,-12.5,57,5213117
tows,apr-jun,2,118.5,-12.5,57,5213119
tows,apr-jun,2,119.5,-12.5,57,5213119
tows,apr-jun,3,120.5,-12.5,57,5213119
tows,apr-jun,2,121.5,-12.5,57,5213121
tows,apr-jun,0,153.5,-12.5,71,5213152
tows,apr-jun,1,154.5,-12.5,71,5213153
tows,apr-jun,0,156.5,-12.5,71,5213155
tows,apr-jun,1,157.5,-12.5,71,5213156
tows,apr-jun,0,163.5,-12.5,71,5213162
tows,apr-jun,1,164.5,-12.5,71,5213163
tows,apr-jun,0,-173.5,-11.5,77,5312173
tows,apr-jun,0,-165.5,-11.5,77,5312164
tows,apr-jun,0,-158.5,-11.5,77,5312158
tows,apr-jun,0,-157.5,-11.5,77,5312158
tows,apr-jun,1,-155.5,-11.5,77,5312156
tows,apr-jun,1,-151.5,-11.5,77,5312150
tows,apr-jun,0,-149.5,-11.5,77,5312150
tows,apr-jun,3,-135.5,-11.5,77,5312134
tows,apr-jun,2,-134.5,-11.5,77,5312134
tows,apr-jun,1,-133.5,-11.5,77,5312134
tows,apr-jun,0,-125.5,-11.5,77,5312125
tows,apr-jun,0,-124.5,-11.5,77,5312125
tows,apr-jun,0,-123.5,-11.5,77,5311123
tows,apr-jun,0,-122.5,-11.5,77,5312121
tows,apr-jun,0,-120.5,-11.5,87,5312121
tows,apr-jun,1,-99.5,-11.5,87,5311100
tows,apr-jun,1,-98.5,-11.5,87,5310098
tows,apr-jun,0,59.5,-11.5,51,5212058
tows,apr-jun,0,60.5,-11.5,51,5212061
tows,apr-jun,0,64.5,-11.5,51,5212065
tows,apr-jun,0,87.5,-11.5,57,5212086
tows,apr-jun,0,91.5,-11.5,57,5212090
tows,apr-jun,1,93.5,-11.5,57,5212094
tows,apr-jun,0,95.5,-11.5,57,5212095
tows,apr-jun,0,96.5,-11.5,57,5212097
tows,apr-jun,0,98.5,-11.5,57,5211099
tows,apr-jun,1,99.5,-11.5,57,5211099
tows,apr-jun,0,100.5,-11.5,57,5211099
tows,apr-jun,1,104.5,-11.5,57,5211105
tows,apr-jun,1,106.5,-11.5,57,5212105
tows,apr-jun,1,107.5,-11.5,57,5212106
tows,apr-jun,1,108.5,-11.5,57,5212108
tows,apr-jun,2,109.5,-11.5,57,5212108
tows,apr-jun,2,110.5,-11.5,57,5212111
tows,apr-jun,1,111.5,-11.5,57,5212112
tows,apr-jun,2,112.5,-11.5,57,5212113
tows,apr-jun,2,113.5,-11.5,57,5212114
tows,apr-jun,1,114.5,-11.5,57,5212115
tows,apr-jun,3,115.5,-11.5,57,5212116
tows,apr-jun,2,116.5,-11.5,57,5212116
tows,apr-jun,2,117.5,-11.5,57,5212117
tows,apr-jun,2,118.5,-11.5,57,5212117
tows,apr-jun,3,119.5,-11.5,57,5212118
tows,apr-jun,3,120.5,-11.5,57,5210119
tows,apr-jun,2,121.5,-11.5,57,5212122
tows,apr-jun,0,122.5,-11.5,57,5211122
tows,apr-jun,1,168.5,-11.5,71,5212169
tows,apr-jun,0,170.5,-11.5,71,5212170
tows,apr-jun,0,171.5,-11.5,71,5212170
tows,apr-jun,0,172.5,-11.5,71,5212172
tows,apr-jun,1,-169.5,-10.5,77,5311168
tows,apr-jun,0,-161.5,-10.5,77,5311160
tows,apr-jun,1,-160.5,-10.5,77,5311159
tows,apr-jun,1,-159.5,-10.5,77,5311158
tows,apr-jun,0,-156.5,-10.5,77,5311155
tows,apr-jun,0,-155.5,-10.5,77,5311155
tows,apr-jun,1,-154.5,-10.5,77,5311155
tows,apr-jun,1,-153.5,-10.5,77,5311154
tows,apr-jun,3,-152.5,-10.5,77,5309152
tows,apr-jun,2,-151.5,-10.5,77,5311150
tows,apr-jun,2,-150.5,-10.5,77,5311149
tows,apr-jun,2,-149.5,-10.5,77,5309150
tows,apr-jun,3,-148.5,-10.5,77,5309149
tows,apr-jun,2,-147.5,-10.5,77,5311147
tows,apr-jun,0,-146.5,-10.5,77,5311147
tows,apr-jun,2,-145.5,-10.5,77,5309144
tows,apr-jun,1,-144.5,-10.5,77,5309144
tows,apr-jun,1,-142.5,-10.5,77,5310142
tows,apr-jun,1,-141.5,-10.5,77,5309141
tows,apr-jun,0,-140.5,-10.5,77,5311140
tows,apr-jun,1,-139.5,-10.5,77,5311140
tows,apr-jun,0,-135.5,-10.5,77,5311135
tows,apr-jun,1,-134.5,-10.5,77,5311135
tows,apr-jun,0,-133.5,-10.5,77,5311134
tows,apr-jun,0,-130.5,-10.5,77,5311131
tows,apr-jun,0,-127.5,-10.5,77,5311126
tows,apr-jun,0,-126.5,-10.5,77,5311125
tows,apr-jun,0,-121.5,-10.5,77,5311122
tows,apr-jun,1,-119.5,-10.5,87,5311119
tows,apr-jun,1,-99.5,-10.5,87,5311100
tows,apr-jun,0,59.5,-10.5,51,5211059
tows,apr-jun,0,64.5,-10.5,51,5211064
tows,apr-jun,0,65.5,-10.5,51,5211064
tows,apr-jun,0,68.5,-10.5,51,5211069
tows,apr-jun,0,78.5,-10.5,51,5211079
tows,apr-jun,1,89.5,-10.5,57,5211089
tows,apr-jun,2,90.5,-10.5,57,5211089
tows,apr-jun,1,91.5,-10.5,57,5211091
tows,apr-jun,1,93.5,-10.5,57,5211094
tows,apr-jun,3,94.5,-10.5,57,5211094
tows,apr-jun,0,95.5,-10.5,57,5211096
tows,apr-jun,0,98.5,-10.5,57,5211098
tows,apr-jun,0,99.5,-10.5,57,5211100
tows,apr-jun,0,100.5,-10.5,57,5211101
tows,apr-jun,2,101.5,-10.5,57,5211102
tows,apr-jun,2,102.5,-10.5,57,5211102
tows,apr-jun,2,103.5,-10.5,57,5211104
tows,apr-jun,1,104.5,-10.5,57,5210104
tows,apr-jun,1,105.5,-10.5,57,5210104
tows,apr-jun,1,106.5,-10.5,57,5211107
tows,apr-jun,1,107.5,-10.5,57,5211107
tows,apr-jun,2,108.5,-10.5,57,5211107
tows,apr-jun,2,109.5,-10.5,57,5210108
tows,apr-jun,1,110.5,-10.5,57,5211110
tows,apr-jun,2,111.5,-10.5,57,5209112
tows,apr-jun,2,112.5,-10.5,57,5209112
tows,apr-jun,3,113.5,-10.5,57,5211113
tows,apr-jun,4,114.5,-10.5,57,5211113
tows,apr-jun,3,115.5,-10.5,57,5211116
tows,apr-jun,3,116.5,-10.5,57,5211117
tows,apr-jun,2,117.5,-10.5,57,5211118
tows,apr-jun,3,118.5,-10.5,57,5211119
tows,apr-jun,2,119.5,-10.5,57,5211120
tows,apr-jun,1,120.5,-10.5,57,5211121
tows,apr-jun,0,122.5,-10.5,57,5211122
tows,apr-jun,1,123.5,-10.5,57,5211122
tows,apr-jun,1,124.5,-10.5,57,5211125
tows,apr-jun,1,125.5,-10.5,57,5211125
tows,apr-jun,1,147.5,-10.5,71,5211146
tows,apr-jun,1,148.5,-10.5,71,5211148
tows,apr-jun,1,151.5,-10.5,71,5211150
tows,apr-jun,1,152.5,-10.5,71,5209151
tows,apr-jun,1,153.5,-10.5,71,5211153
tows,apr-jun,0,154.5,-10.5,71,5211155
tows,apr-jun,1,155.5,-10.5,71,5211155
tows,apr-jun,1,159.5,-10.5,71,5211158
tows,apr-jun,1,169.5,-10.5,71,5211169
tows,apr-jun,0,171.5,-10.5,71,5211172
tows,apr-jun,1,172.5,-10.5,71,5211172
tows,apr-jun,1,173.5,-10.5,71,5211172
tows,apr-jun,1,178.5,-10.5,71,5211177
tows,apr-jun,0,-171.5,-9.5,77,5310170
tows,apr-jun,1,-149.5,-9.5,77,5309150
tows,apr-jun,1,-147.5,-9.5,77,5310148
tows,apr-jun,0,-144.5,-9.5,77,5309144
tows,apr-jun,1,-141.5,-9.5,77,5309141
tows,apr-jun,1,-140.5,-9.5,77,5310140
tows,apr-jun,1,-139.5,-9.5,77,5310138
tows,apr-jun,0,-135.5,-9.5,77,5310135
tows,apr-jun,1,-133.5,-9.5,77,5310134
tows,apr-jun,1,-132.5,-9.5,77,5310132
tows,apr-jun,0,-131.5,-9.5,77,5310132
tows,apr-jun,0,-130.5,-9.5,77,5310131
tows,apr-jun,1,-119.5,-9.5,87,5310120
tows,apr-jun,0,-117.5,-9.5,87,5310118
tows,apr-jun,0,-116.5,-9.5,87,5310116
tows,apr-jun,0,-115.5,-9.5,87,5310116
tows,apr-jun,0,-105.5,-9.5,87,5309105
tows,apr-jun,1,-104.5,-9.5,87,5309105
tows,apr-jun,1,-103.5,-9.5,87,5310103
tows,apr-jun,0,8.5,-9.5,47,5210008
tows,apr-jun,0,72.5,-9.5,51,5210072
tows,apr-jun,0,89.5,-9.5,57,5210090
tows,apr-jun,2,90.5,-9.5,57,5210090
tows,apr-jun,1,91.5,-9.5,57,5210092
tows,apr-jun,2,92.5,-9.5,57,5210092
tows,apr-jun,0,93.5,-9.5,57,5209094
tows,apr-jun,0,96.5,-9.5,57,5210096
tows,apr-jun,1,97.5,-9.5,57,5210096
tows,apr-jun,0,98.5,-9.5,57,5210097
tows,apr-jun,1,99.5,-9.5,57,5210099
tows,apr-jun,1,100.5,-9.5,57,5210101
tows,apr-jun,3,101.5,-9.5,57,5210101
tows,apr-jun,2,102.5,-9.5,57,5210101
tows,apr-jun,2,103.5,-9.5,57,5210104
tows,apr-jun,1,104.5,-9.5,57,5209105
tows,apr-jun,2,105.5,-9.5,57,5209105
tows,apr-jun,1,106.5,-9.5,57,5210105
tows,apr-jun,2,107.5,-9.5,57,5210106
