category,season,effort,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
tows,oct-dec,0,-59.5,-49.5,41,5350060
tows,oct-dec,0,-53.5,-49.5,41,5350054
tows,oct-dec,0,-65.5,-48.5,41,5349065
tows,oct-dec,0,-62.5,-48.5,41,5349063
tows,oct-dec,0,-53.5,-48.5,41,5349054
tows,oct-dec,0,-65.5,-47.5,41,5348066
tows,oct-dec,0,-54.5,-47.5,41,5348053
tows,oct-dec,0,-50.5,-47.5,41,5348051
tows,oct-dec,0,-66.5,-46.5,41,5347066
tows,oct-dec,0,-65.5,-45.5,41,5346064
tows,oct-dec,0,-51.5,-45.5,41,5346050
tows,oct-dec,0,-50.5,-45.5,41,5346050
tows,oct-dec,0,-49.5,-45.5,41,5346050
tows,oct-dec,0,-65.5,-44.5,41,5344066
tows,oct-dec,0,-63.5,-43.5,41,5344062
tows,oct-dec,0,-46.5,-43.5,41,5343045
tows,oct-dec,1,92.5,-43.5,57,5244091
tows,oct-dec,0,-62.5,-42.5,41,5343061
tows,oct-dec,0,9.5,-41.5,47,5241010
tows,oct-dec,1,18.5,-41.5,47,5242017
tows,oct-dec,1,-46.5,-40.5,41,5341047
tows,oct-dec,0,-44.5,-40.5,41,5341043
tows,oct-dec,1,2.5,-40.5,47,5241001
tows,oct-dec,0,11.5,-40.5,47,5240012
tows,oct-dec,0,90.5,-40.5,57,5241089
tows,oct-dec,0,91.5,-40.5,57,5240090
tows,oct-dec,0,-109.5,-39.5,87,5340109
tows,oct-dec,0,-108.5,-39.5,87,5340107
tows,oct-dec,0,-105.5,-39.5,87,5340106
tows,oct-dec,0,-90.5,-39.5,87,5340091
tows,oct-dec,0,-88.5,-39.5,87,5338087
tows,oct-dec,0,-49.5,-39.5,41,5338048
tows,oct-dec,0,-48.5,-39.5,41,5339049
tows,oct-dec,0,-44.5,-39.5,41,5340043
tows,oct-dec,1,1.5,-39.5,47,5238002
tows,oct-dec,1,3.5,-39.5,47,5239002
tows,oct-dec,0,5.5,-39.5,47,5240006
tows,oct-dec,0,12.5,-39.5,47,5239012
tows,oct-dec,0,88.5,-39.5,57,5240089
tows,oct-dec,0,89.5,-39.5,57,5240089
tows,oct-dec,0,91.5,-39.5,57,5240090
tows,oct-dec,1,92.5,-39.5,57,5240091
tows,oct-dec,0,102.5,-39.5,57,5239102
tows,oct-dec,0,-101.5,-38.5,87,5339100
tows,oct-dec,0,-84.5,-38.5,87,5339083
tows,oct-dec,1,-1.5,-38.5,47,5339001
tows,oct-dec,1,5.5,-38.5,47,5238005
tows,oct-dec,0,15.5,-38.5,47,5239015
tows,oct-dec,1,23.5,-38.5,47,5239023
tows,oct-dec,0,86.5,-38.5,57,5239087
tows,oct-dec,0,87.5,-38.5,57,5239088
tows,oct-dec,0,88.5,-38.5,57,5239088
tows,oct-dec,0,89.5,-38.5,57,5239090
tows,oct-dec,0,90.5,-38.5,57,5239091
tows,oct-dec,0,101.5,-38.5,57,5239102
tows,oct-dec,0,-114.5,-37.5,87,5338113
tows,oct-dec,0,-101.5,-37.5,87,5338100
tows,oct-dec,0,-80.5,-37.5,87,5338079
tows,oct-dec,0,-51.5,-37.5,41,5338052
tows,oct-dec,0,-44.5,-37.5,41,5338044
tows,oct-dec,1,-4.5,-37.5,47,5337003
tows,oct-dec,1,-3.5,-37.5,47,5338002
tows,oct-dec,1,8.5,-37.5,47,5237007
tows,oct-dec,1,9.5,-37.5,47,5236010
tows,oct-dec,1,86.5,-37.5,57,5238087
tows,oct-dec,1,87.5,-37.5,57,5238088
tows,oct-dec,0,88.5,-37.5,57,5238088
tows,oct-dec,0,155.5,-37.5,81,5238154
tows,oct-dec,0,156.5,-37.5,81,5238157
tows,oct-dec,0,-116.5,-36.5,87,5337115
tows,oct-dec,1,-4.5,-36.5,47,5337005
tows,oct-dec,1,11.5,-36.5,47,5237012
tows,oct-dec,1,12.5,-36.5,47,5237012
tows,oct-dec,0,17.5,-36.5,47,5237016
tows,oct-dec,1,33.5,-36.5,51,5236032
tows,oct-dec,1,86.5,-36.5,57,5237086
tows,oct-dec,0,87.5,-36.5,57,5237087
tows,oct-dec,0,89.5,-36.5,57,5236088
tows,oct-dec,0,90.5,-36.5,57,5237091
tows,oct-dec,0,91.5,-36.5,57,5236091
tows,oct-dec,0,96.5,-36.5,57,5237095
tows,oct-dec,1,97.5,-36.5,57,5237097
tows,oct-dec,1,98.5,-36.5,57,5237097
tows,oct-dec,0,157.5,-36.5,81,5237158
tows,oct-dec,0,-118.5,-35.5,87,5336117
tows,oct-dec,0,-94.5,-35.5,87,5336093
tows,oct-dec,0,-44.5,-35.5,41,5335045
tows,oct-dec,1,-6.5,-35.5,47,5335007
