category,season,effort,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
volume,apr-jun,0,148.5,-44.5,57,5245147
volume,apr-jun,0,150.5,-43.5,57,5242150
volume,apr-jun,0,148.5,-42.5,57,5243147
volume,apr-jun,0,149.5,-42.5,57,5242150
volume,apr-jun,0,47.5,-41.5,51,5241048
volume,apr-jun,0,48.5,-41.5,51,5241048
volume,apr-jun,0,53.5,-41.5,51,5242052
volume,apr-jun,0,148.5,-41.5,57,5242147
volume,apr-jun,0,150.5,-41.5,57,5242150
volume,apr-jun,0,152.5,-39.5,81,5240153
volume,apr-jun,0,-178.5,-38.5,81,5339178
volume,apr-jun,4,149.5,-38.5,57,5239148
volume,apr-jun,0,150.5,-38.5,57,5239149
volume,apr-jun,0,-178.5,-37.5,81,5338178
volume,apr-jun,0,150.5,-37.5,57,5238150
volume,apr-jun,0,151.5,-37.5,81,5238150
volume,apr-jun,0,152.5,-37.5,81,5238153
volume,apr-jun,0,179.5,-37.5,81,5238178
volume,apr-jun,1,150.5,-36.5,81,5237151
volume,apr-jun,0,151.5,-36.5,81,5237150
volume,apr-jun,0,40.5,-35.5,51,5235039
volume,apr-jun,0,151.5,-35.5,81,5236150
volume,apr-jun,0,43.5,-34.5,51,5233043
volume,apr-jun,0,44.5,-34.5,51,5235045
volume,apr-jun,0,155.5,-34.5,81,5233156
volume,apr-jun,0,44.5,-33.5,51,5232045
volume,apr-jun,0,156.5,-33.5,81,5234156
volume,apr-jun,0,158.5,-33.5,81,5234159
volume,apr-jun,0,155.5,-32.5,81,5233154
volume,apr-jun,0,170.5,-32.5,81,5233171
volume,apr-jun,0,157.5,-31.5,81,5231157
volume,apr-jun,0,169.5,-31.5,81,5230170
volume,apr-jun,0,170.5,-31.5,81,5231170
volume,apr-jun,0,11.5,-30.5,47,5230010
volume,apr-jun,0,40.5,-30.5,51,5231041
volume,apr-jun,0,153.5,-30.5,81,5231152
volume,apr-jun,0,169.5,-30.5,81,5230170
volume,apr-jun,0,170.5,-30.5,81,5230171
volume,apr-jun,0,13.5,-29.5,47,5230012
volume,apr-jun,0,168.5,-29.5,81,5230168
volume,apr-jun,1,169.5,-29.5,81,5229169
volume,apr-jun,0,171.5,-29.5,81,5230171
volume,apr-jun,0,105.5,-28.5,57,5229106
volume,apr-jun,0,106.5,-28.5,57,5229106
volume,apr-jun,0,154.5,-28.5,81,5227153
volume,apr-jun,0,12.5,-27.5,47,5227012
volume,apr-jun,0,154.5,-27.5,81,5228154
volume,apr-jun,0,12.5,-26.5,47,5227012
volume,apr-jun,0,-164.5,-25.5,81,5326163
volume,apr-jun,0,73.5,-25.5,51,5226072
volume,apr-jun,0,74.5,-25.5,51,5226075
volume,apr-jun,1,-164.5,-24.5,81,5325163
volume,apr-jun,0,-163.5,-24.5,81,5325162
volume,apr-jun,0,73.5,-24.5,51,5225072
volume,apr-jun,0,154.5,-23.5,71,5224154
volume,apr-jun,0,104.5,-19.5,57,5220105
volume,apr-jun,0,115.5,-19.5,57,5220114
volume,apr-jun,0,116.5,-19.5,57,5220115
volume,apr-jun,0,120.5,-19.5,57,5220120
volume,apr-jun,0,114.5,-18.5,57,5219113
volume,apr-jun,0,115.5,-18.5,57,5219114
volume,apr-jun,0,-154.5,-17.5,77,5318153
