category,season,effort,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
volume,jul-sept,4,152.5,-39.5,81,5240153
volume,jul-sept,1,151.5,-38.5,81,5238151
volume,jul-sept,0,152.5,-38.5,81,5239151
volume,jul-sept,0,153.5,-38.5,81,5239153
volume,jul-sept,0,154.5,-38.5,81,5239155
volume,jul-sept,0,-167.5,-37.5,81,5338168
volume,jul-sept,1,150.5,-37.5,57,5238150
volume,jul-sept,4,151.5,-37.5,81,5238150
volume,jul-sept,1,152.5,-37.5,81,5238153
volume,jul-sept,1,153.5,-37.5,81,5238154
volume,jul-sept,0,154.5,-37.5,81,5238153
volume,jul-sept,0,178.5,-37.5,81,5238177
volume,jul-sept,0,179.5,-37.5,81,5238178
volume,jul-sept,0,-168.5,-36.5,81,5337168
volume,jul-sept,0,95.5,-36.5,57,5237094
volume,jul-sept,0,96.5,-36.5,57,5237095
volume,jul-sept,0,150.5,-36.5,81,5237151
volume,jul-sept,1,151.5,-36.5,81,5237150
volume,jul-sept,1,152.5,-36.5,81,5237153
volume,jul-sept,1,153.5,-36.5,81,5237154
volume,jul-sept,1,154.5,-36.5,81,5235155
volume,jul-sept,0,155.5,-36.5,81,5236156
volume,jul-sept,0,176.5,-36.5,81,5237175
volume,jul-sept,0,177.5,-36.5,81,5237176
volume,jul-sept,0,179.5,-36.5,81,5337179
volume,jul-sept,0,-179.5,-35.5,81,5336179
volume,jul-sept,0,153.5,-35.5,81,5236154
volume,jul-sept,0,175.5,-35.5,81,5236175
volume,jul-sept,1,176.5,-35.5,81,5236177
volume,jul-sept,0,177.5,-35.5,81,5235177
volume,jul-sept,0,178.5,-35.5,81,5236178
volume,jul-sept,0,179.5,-35.5,81,5336179
volume,jul-sept,0,-179.5,-34.5,81,5235179
volume,jul-sept,0,166.5,-34.5,81,5235165
volume,jul-sept,0,176.5,-34.5,81,5235176
volume,jul-sept,0,177.5,-34.5,81,5235178
volume,jul-sept,0,-162.5,-33.5,81,5334163
volume,jul-sept,0,-172.5,-32.5,81,5333172
volume,jul-sept,0,-171.5,-32.5,81,5333172
volume,jul-sept,0,14.5,-32.5,47,5233015
volume,jul-sept,0,153.5,-32.5,81,5232152
volume,jul-sept,0,156.5,-32.5,81,5231157
volume,jul-sept,0,157.5,-32.5,81,5231157
volume,jul-sept,0,-171.5,-31.5,81,5332171
volume,jul-sept,0,157.5,-31.5,81,5231157
volume,jul-sept,0,161.5,-31.5,81,5232161
volume,jul-sept,1,153.5,-30.5,81,5231152
volume,jul-sept,0,158.5,-30.5,81,5231157
volume,jul-sept,1,160.5,-30.5,81,5231161
volume,jul-sept,0,161.5,-30.5,81,5231161
volume,jul-sept,0,-169.5,-29.5,81,5330170
volume,jul-sept,0,-168.5,-29.5,81,5330167
volume,jul-sept,0,154.5,-29.5,81,5230155
volume,jul-sept,0,156.5,-29.5,81,5230157
volume,jul-sept,0,160.5,-29.5,81,5230159
volume,jul-sept,0,161.5,-29.5,81,5230162
volume,jul-sept,0,163.5,-29.5,81,5229164
volume,jul-sept,0,168.5,-29.5,81,5230168
volume,jul-sept,0,-174.5,-28.5,81,5328175
volume,jul-sept,0,-170.5,-28.5,81,5329169
volume,jul-sept,0,-169.5,-28.5,81,5329168
volume,jul-sept,0,-152.5,-28.5,81,5329153
volume,jul-sept,0,-151.5,-28.5,81,5329151
volume,jul-sept,0,154.5,-28.5,81,5227153
volume,jul-sept,0,158.5,-28.5,81,5228157
volume,jul-sept,0,159.5,-28.5,81,5228158
volume,jul-sept,0,160.5,-28.5,81,5229160
volume,jul-sept,0,161.5,-28.5,81,5229160
volume,jul-sept,0,162.5,-28.5,81,5227163
volume,jul-sept,0,163.5,-28.5,81,5229164
volume,jul-sept,4,164.5,-28.5,81,5229164
volume,jul-sept,0,165.5,-28.5,81,5229164
volume,jul-sept,0,166.5,-28.5,81,5229166
volume,jul-sept,0,168.5,-28.5,81,5229169
volume,jul-sept,0,-178.5,-27.5,81,5327177
