effort,season,latitude,longitude,abundance
tows,apr-jun,4,100,0
tows,apr-jun,3,100,0
tows,apr-jun,-11,100,1
tows,apr-jun,-12,100,1
tows,apr-jun,0,99,0
tows,apr-jun,-12,99,1
tows,apr-jun,-13,99,2
tows,apr-jun,15,98,0
tows,apr-jun,-13,98,0
tows,apr-jun,15,97,1
tows,apr-jun,10,97,1
tows,apr-jun,15,96,0
tows,apr-jun,13,96,1
tows,apr-jun,12,96,1
tows,apr-jun,10,96,1
tows,apr-jun,-1,96,0
tows,apr-jun,13,95,2
tows,apr-jun,12,95,0
tows,apr-jun,11,95,0
tows,apr-jun,10,95,0
tows,apr-jun,-2,95,0
tows,apr-jun,13,94,1
tows,apr-jun,-3,94,0
tows,apr-jun,7,92,0
tows,apr-jun,-5,86,1
tows,apr-jun,-6,86,1
tows,apr-jun,-5,85,1
tows,apr-jun,-6,85,0
tows,apr-jun,31,70,0
tows,apr-jun,31,69,2
tows,apr-jun,30,69,0
tows,apr-jun,31,68,2
tows,apr-jun,30,68,1
tows,apr-jun,30,67,0
tows,apr-jun,31,65,0
tows,apr-jun,31,64,2
tows,apr-jun,30,64,1
tows,apr-jun,31,63,1
tows,apr-jun,30,63,1
tows,apr-jun,32,62,0
tows,apr-jun,30,62,0
tows,apr-jun,30,60,0
tows,apr-jun,35,58,0
tows,apr-jun,31,58,1
tows,apr-jun,30,57,1
tows,apr-jun,30,56,1
tows,apr-jun,37,53,0
tows,apr-jun,30,53,0
tows,apr-jun,49,51,0
tows,apr-jun,34,51,0
tows,apr-jun,32,51,0
tows,apr-jun,31,51,0
tows,apr-jun,30,51,0
tows,apr-jun,29,51,0
tows,apr-jun,25,51,1
tows,apr-jun,23,51,0
tows,apr-jun,21,51,0
tows,apr-jun,20,51,0
tows,apr-jun,19,51,0
tows,apr-jun,15,51,1
tows,apr-jun,11,51,1
tows,apr-jun,5,51,0
tows,apr-jun,40,50,0
tows,apr-jun,39,50,1
tows,apr-jun,37,50,0
tows,apr-jun,36,50,0
tows,apr-jun,34,50,0
tows,apr-jun,30,50,1
tows,apr-jun,14,50,0
tows,apr-jun,13,50,0
tows,apr-jun,11,50,1
tows,apr-jun,10,50,0
tows,apr-jun,8,50,0
tows,apr-jun,7,50,0
tows,apr-jun,5,50,0
tows,apr-jun,30,49,1
tows,apr-jun,28,48,0
tows,apr-jun,25,44,0
tows,apr-jun,21,41,0
tows,apr-jun,18,38,0
tows,apr-jun,10,37,1
tows,apr-jun,16,36,0
tows,apr-jun,15,36,0
tows,apr-jun,14,36,0
tows,apr-jun,12,36,0
tows,apr-jun,10,36,0
tows,apr-jun,3,36,0
tows,apr-jun,1,36,1
tows,apr-jun,-1,36,0
tows,apr-jun,-2,36,0
tows,apr-jun,-3,36,0
tows,apr-jun,-4,36,0
tows,apr-jun,14,35,0
tows,apr-jun,9,35,0
tows,apr-jun,8,35,0
tows,apr-jun,6,35,1
tows,apr-jun,4,35,0
tows,apr-jun,11,31,0
tows,apr-jun,9,28,0
tows,apr-jun,-3,28,0
tows,apr-jun,8,27,0
tows,apr-jun,9,26,0
tows,apr-jun,8,26,1
tows,apr-jun,2,25,0
tows,apr-jun,13,23,0
tows,apr-jun,9,18,0
tows,apr-jun,4,17,0
tows,apr-jun,5,16,1
tows,apr-jun,-6,3,0
tows,apr-jun,-5,-5,0
tows,apr-jun,-8,-8,1
tows,apr-jun,-9,-8,1
tows,apr-jun,-10,-8,0
tows,apr-jun,-8,-9,0
tows,apr-jun,-31,-11,0
tows,apr-jun,-27,-12,0
tows,apr-jun,-28,-12,0
tows,apr-jun,-30,-13,0
tows,apr-jun,-31,-40,0
tows,apr-jun,-36,-40,0
tows,apr-jun,-35,-43,1
tows,apr-jun,-34,-44,0
tows,apr-jun,-35,-44,0
tows,apr-jun,-42,-47,0
tows,apr-jun,-42,-48,0
tows,apr-jun,3,-50,0
tows,apr-jun,-3,-50,0
tows,apr-jun,-5,-50,1
tows,apr-jun,-6,-50,0
tows,apr-jun,-7,-50,0
tows,apr-jun,4,-51,1
tows,apr-jun,3,-51,2
tows,apr-jun,1,-51,0
tows,apr-jun,-4,-51,0
tows,apr-jun,-5,-51,0
tows,apr-jun,4,-52,0
tows,apr-jun,3,-52,2
tows,apr-jun,2,-52,1
tows,apr-jun,-3,-52,0
tows,apr-jun,3,-53,1
tows,apr-jun,-42,-53,0
tows,apr-jun,2,-54,0
tows,apr-jun,2,-55,0
tows,apr-jun,3,-57,0
tows,apr-jun,-9,-57,0
tows,apr-jun,4,-58,1
tows,apr-jun,2,-58,0
tows,apr-jun,5,-59,0
tows,apr-jun,3,-59,0
tows,apr-jun,-9,-59,0
tows,apr-jun,-11,-59,0
tows,apr-jun,-12,-59,0
tows,apr-jun,-12,-60,0
tows,apr-jun,3,-61,0
tows,apr-jun,-4,-61,0
tows,apr-jun,3,-62,0
tows,apr-jun,-4,-62,0
tows,apr-jun,-7,-62,0
tows,apr-jun,3,-63,0
tows,apr-jun,2,-63,0
tows,apr-jun,-13,-63,0
tows,apr-jun,-3,-64,0
tows,apr-jun,-4,-64,1
tows,apr-jun,-8,-64,0
tows,apr-jun,-11,-64,0
tows,apr-jun,-12,-64,0
tows,apr-jun,-6,-65,2
tows,apr-jun,-11,-65,0
tows,apr-jun,-6,-66,1
tows,apr-jun,-7,-66,0
tows,apr-jun,2,-67,1
tows,apr-jun,-4,-67,0
tows,apr-jun,-6,-67,1
tows,apr-jun,-7,-67,0
tows,apr-jun,3,-68,0
tows,apr-jun,-6,-68,1
tows,apr-jun,-7,-68,0
tows,apr-jun,-8,-68,1
tows,apr-jun,-9,-68,1
tows,apr-jun,-11,-68,0
tows,apr-jun,2,-69,1
tows,apr-jun,-6,-69,1
tows,apr-jun,-7,-69,1
tows,apr-jun,-8,-69,0
tows,apr-jun,-9,-69,1
tows,apr-jun,-6,-70,0
tows,apr-jun,-8,-70,0
tows,apr-jun,-9,-70,0
tows,apr-jun,-4,-71,0
tows,apr-jun,-9,-71,1
tows,apr-jun,-10,-72,0
